,episode_number,season,episode_title,description,ratings,votes,viewership_mil,duration,release_date,guest_stars,director,writers,has_guests,scaled_ratings
64,64,4,"Goodbye, Toby","Michael throws an extravagant going-away party for Toby, and falls in love with the woman who is replacing him. Jim plans to propose to Pam at the party, but gets out-staged. Back at corporate, Ryan is arrested for fraud.",9.3,3939,8.07,42,2008-05-15,,Paul Feig,Jennifer Celotta | Paul Lieberstein,False,0.8181818181818192
65,65,5,Weight Loss,"Michael tries to motivate the Scranton branch to lose weight as part of an interoffice competition. Jim is lost after Pam leaves for art school in New York, and Angela continues to see Dwight even though she is now engaged to Andy.",8.8,3264,9.2,43,2008-09-25,,Paul Feig,Lee Eisenberg | Gene Stupnitsky,False,0.5909090909090917
66,66,5,Business Ethics,A confession at an H.R. business ethics seminar leads to a dispute between Michael and Holly over whether Meredith should be fired. Dwight tries to prove to Jim how long he can go without taking a personal break.,8.3,2654,8.99,22,2008-10-09,Wendi McLendon-Covey,Jeffrey Blitz,Ryan Koh,True,0.3636363636363642
67,67,5,Baby Shower,"After planning an office baby shower for Jan, Michael is upset when he finds out that she had the baby without him--even though he's already been told that he's not the baby's father.",8.0,2621,8.07,22,2008-10-16,,Greg Daniels,Aaron Shure,False,0.22727272727272751
68,68,5,Crime Aid,"Michael and Holly have sex for the first time, and Michael holds a fund-raiser for the office after it is burglarized. Dwight confides in Phyllis after Andy and Angela set a wedding date, and Jim runs into Pam's ex-fiancÃƒÆ’Ã‚Â©, Roy.",8.1,2525,7.74,30,2008-10-23,,Jennifer Celotta,Charlie Grandy,False,0.27272727272727293
69,69,5,Employee Transfer,Holly is transferred back to New Hampshire after corporate discovers that she and Michael are dating. Dwight tries to apply to Cornell to get under Andy's skin. Jim's brothers and Pam decide to play a trick on Jim when they meet for lunch.,8.0,2600,9.32,22,2008-10-30,,David Rogers,Anthony Q. Farrell,False,0.22727272727272751
70,70,5,Customer Survey,"Dwight and Jim believe that something is suspicious about their low customer performance ratings. After consulting with Angela, Andy finds the perfect site for their wedding--Dwight's beet farm.",8.5,2717,8.35,22,2008-11-06,,Stephen Merchant,Lester Lewis,False,0.45454545454545503
71,71,5,Business Trip,"David Wallace sends Michael on a business trip to Winnipeg to help him forget about Holly's transfer to Nashua, and Pam tells Jim that she failed a class and has to stay in New York City.",8.2,2516,8.18,30,2008-11-13,,Randall Einhorn,Brent Forrester,False,0.31818181818181834
72,72,5,Frame Toby,"When Michael discovers that corporate has brought back Toby to replace Holly, he tries to frame him with drugs and to get him fired. Meanwhile, Pam has issues with the disgusting microwave....
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.6,2799,8.4,30,2008-11-20,,See full summary,Mindy Kaling,False,0.5
73,73,5,The Surplus,"Michael has to spend the office surplus by they end of the day, but he can't decide between a copier or new chairs. Dwight plays a dirty trick on Angela as they prepare for Andy and Angela's wedding on the beet farm.",8.8,2776,8.33,22,2008-12-04,,Paul Feig,Gene Stupnitsky | Lee Eisenberg,False,0.5909090909090917
74,74,5,Moroccan Christmas,"Phyllis blackmails Angela into doing the work for the Christmas party, which Michael turns into an intervention after Meredith gets drunk and sets her hair on fire. Meanwhile, Dwight corners the market on a popular Christmas gift.",8.4,2613,8.79,30,2008-12-11,,Paul Feig,Justin Spitzer,False,0.4090909090909096
75,75,5,The Duel,"Moments before he leaves for New York for a meeting with David Wallace, Michael tells Andy that Angela and Dwight are seeing each other. Andy and Dwight then decide to have it out in the parking lot.",8.7,2711,8.5,30,2009-01-15,,Dean Holland,Jennifer Celotta,False,0.5454545454545454
76,76,5,Prince Family Paper,"Michael's conscience gets the best of him after he and Dwight go undercover to scout a family-run competitor. Back at the office, everyone else spends the day debating whether Hilary Swank is hot.",8.0,2615,8.74,22,2009-01-22,,Asaad Kelada,B. J. Novak,False,0.22727272727272751
77,77,5,Stress Relief,"Dwight's too-realistic fire alarm gives Stanley a heart attack. When he returns, Michael learns that he is the cause of Stanley's stress. To remedy the situation, he forces the office to throw a roast for him.",9.7,8170,22.91,60,2009-02-01,"Cloris Leachman, Jack Black, Jessica Alba",Jeffrey Blitz,Paul Lieberstein,True,1.0
78,78,5,Lecture Circuit: Part 1,"While on lecture tour to other Dunder Mifflin branches, Michael and Pam discover that Jim's ex-girlfriend Karen is pregnant. At the office, Andy falls for a prospective client, and Jim and Dwight try to set up Kelly's birthday party.",8.2,2474,8.39,30,2009-02-05,,Ken Kwapis,Mindy Kaling,False,0.31818181818181834
79,79,5,Lecture Circuit: Part 2,"Michael and Pam go to Nashua and discover that Holly has a new boyfriend. At the office, Jim and Dwight try to come up with a theme for Kelly's birthday party, and Angela gets a new cat.",8.1,2431,8.89,30,2009-02-12,,Ken Kwapis,Mindy Kaling,False,0.27272727272727293
80,80,5,Blood Drive,"Michael holds a lonely hearts party on Valentine's Day at the office, hoping that he will run into a woman he met earlier that day at a blood drive. Meanwhile, Jim and Pam have an awkward lunch with Phillis and Bob Vance.",8.0,2464,8.63,22,2009-03-05,,Randall Einhorn,Brent Forrester,False,0.22727272727272751
81,81,5,Golden Ticket,"Michael asks Dwight to be the scapegoat for one of his business ideas that backfired badly on him. But when that idea has an unexpected positive upside, Dwight still takes credit and Michael becomes furious.",8.7,2667,7.51,30,2009-03-12,,Randall Einhorn,Mindy Kaling,False,0.5454545454545454
82,82,5,New Boss,"Michael gets upset when he gets a new boss to act as a buffer between him and David Wallace, and he gets even more upset when he disbands the Party Planning Committee and cancels Michael's fifteenth anniversary party.",8.3,2503,7.95,30,2009-03-19,Idris Elba,Paul Feig,Lee Eisenberg | Gene Stupnitsky,True,0.3636363636363642
83,83,5,Two Weeks,"As Michael prepares to leave Dunder Mifflin, he announces that he will form his own paper company. Will anybody join him?",8.4,2492,8.45,30,2009-03-26,,Paul Lieberstein,Aaron Shure,False,0.4090909090909096
84,84,5,Dream Team,Michael and Pam begin their first day as the Michael Scott Paper Company putting together the rest of the staff and trying to raise money.,8.3,2484,7.2,30,2009-04-09,,Paul Feig,B. J. Novak,False,0.3636363636363642
85,85,5,Michael Scott Paper Company,"Tension and disillusionment begin to emerge as Michael, Pam, and Ryan move the Michael Scott Paper Company into a cramped ""workspace"" at the business park.",8.7,2718,7.94,22,2009-04-09,,Gene Stupnitsky,Justin Spitzer,False,0.5454545454545454
86,86,5,Heavy Competition,"Dwight chooses loyalty to Dunder Mifflin over loyalty to Michael, which leads to a bitter battle between Michael and Dwight over Dwight's accounts. Back at Dunder Mifflin, Jim pretends to confide in Andy.",8.7,2568,8.24,30,2009-04-16,,Ken Whittingham,Ryan Koh,False,0.5454545454545454
87,87,5,Broke,"The Michael Scott Paper Company is gaining clients by offering lower prices than Dunder Mifflin, but is going broke in the process. However, Dunder Mifflin is losing clients to Michael, and is desperate to buy him out.",9.2,3409,7.21,30,2009-04-23,,Steve Carell,Charlie Grandy,False,0.7727272727272725
88,88,5,Casual Friday,"Michael returns to Dunder Mifflin and brings Ryan and Pam in as salespeople, but the existing salespeople demand that Michael return the clients they stole back to them. Meanwhile, some employees take the idea of Casual Friday too far.",8.3,2467,7.31,22,2009-04-30,,Brent Forrester,Anthony Q. Farrell,False,0.3636363636363642
89,89,5,Cafe Disco,"Michael tries to create a place to escape from work in the storage room that used to house the Michael Scott Paper Company, while Jim and Pam consider taking off and getting married that day.",8.7,2814,7.71,30,2009-05-07,,Randall Einhorn,Warren Lieberstein | Halsted Sullivan,False,0.5454545454545454
90,90,5,Company Picnic,"Michael runs into Holly at the company picnic, and the two of them accidentally reveal that the Buffalo branch is closing during a comedy skit before corporate has made the announcement.",9.0,2954,6.72,30,2009-05-14,,Ken Kwapis,Jennifer Celotta | Paul Lieberstein,False,0.6818181818181825
