Id,GameID,Username,Bet,CashedOut,Bonus,Profit,BustedAt,PlayDate
8431158,3332828,RandomBet,1111,1.04,0,44.44,2.31,2016-11-11T11:05:09Z
4324402,3315532,elena98hp1,25,1.25,0,6.25,3,2016-11-06T12:52:12Z
24243700,3420817,zmarat,20,1.04,0,0.8,2.41,2016-12-06T09:26:14Z
9174531,3335997,Irfan,14,NA,NA,NA,1.46,2016-11-12T08:35:12Z
10552911,3343213,ssb2125,28,1.34,0,9.52,4.29,2016-11-14T09:59:22Z
25867523,3430056,kevinthestan,12,NA,NA,NA,2.42,2016-12-08T23:52:40Z
19000287,3394877,NyanTester,1,NA,NA,NA,3.11,2016-11-28T23:00:21Z
17338814,3385022,tatiana31,310,1.03,0,9.3,13.19,2016-11-26T04:31:16Z
17369881,3385241,Knox,100,NA,NA,NA,1.03,2016-11-26T06:00:35Z
16388794,3379394,bobo12,10,NA,NA,NA,1.01,2016-11-24T15:02:04Z
12013671,3351861,azazaz,14,2.3,1.43,18.4,6.25,2016-11-16T20:02:11Z
497983,3297398,bluntpower,176,1.04,2.17,10.86,2.26,2016-11-01T08:57:54Z
4967792,3318313,cxm_6,27,NA,NA,NA,1.13,2016-11-07T07:37:32Z
19213725,3396087,murzilka,150,1.07,2.22,13.83,1.36,2016-11-29T07:35:04Z
1663479,3303496,olga54,14,1.33,3.57,5.12,1.35,2016-11-03T02:23:07Z
6598838,3325001,jlgerald,7,NA,NA,NA,4.44,2016-11-09T05:35:56Z
4939354,3318179,joshuabeats,5,1.04,1.8,0.29,2.69,2016-11-07T06:44:16Z
8743662,3334013,kimelecta1,3553,1.09,0,319.77,1.77,2016-11-11T19:12:36Z
5771269,3321674,alexsoft76bank,5,NA,NA,NA,1.42,2016-11-08T06:56:02Z
23141764,3415153,Lorebenzo,207,1.05,0,10.35,12.67,2016-12-04T18:54:02Z
18376556,3391389,HammerThyme,100,NA,NA,NA,1.24,2016-11-27T23:12:39Z
4963340,3318293,lelik3310,25,1.61,2,15.75,1.71,2016-11-07T07:31:05Z
525338,3297531,post1,1,1.43,3,0.46,1.44,2016-11-01T09:51:19Z
403565,3296928,bajg2014,2,NA,NA,NA,1.4,2016-11-01T05:51:50Z
21339623,3406138,tehvelvet,10,1.2,0,2,5.49,2016-12-02T04:49:22Z
2081429,3305583,aleks7974,15,1.55,3.33,8.75,2.05,2016-11-03T16:53:56Z
26528590,3434181,post1,1,1.97,2,0.99,2.08,2016-12-10T03:52:11Z
9269955,3336476,prog123,142,NA,NA,NA,1.96,2016-11-12T11:54:04Z
15544637,3374473,wasp1,1,1.1,0,0.1,1.47,2016-11-23T05:28:00Z
25114456,3425497,zmarat,20,1.04,1.6,1.12,2.64,2016-12-07T17:01:05Z
4868448,3317822,sumarial,22,1.04,0,0.88,4.02,2016-11-07T04:32:10Z
5121599,3318982,Great88,1,NA,NA,NA,2.49,2016-11-07T12:26:01Z
13840706,3363897,ShadowshotBank,19,2.01,3.47,19.85,41.48,2016-11-20T05:36:03Z
18745506,3393609,FreakFruit,1,NA,NA,NA,6.82,2016-11-28T14:18:05Z
10268521,3341621,RandomBet,1111,1.04,4.02,89.09,1.13,2016-11-13T23:14:23Z
6990802,3326588,Chieralph15,4,1.04,0,0.16,2.56,2016-11-09T16:23:02Z
25754389,3429357,ubersaki,1000,1.1,0,100,2.84,2016-12-08T19:04:50Z
10962384,3345475,imloser1,740,NA,NA,NA,8.31,2016-11-15T01:09:35Z
6819543,3325890,Kirr923,3,2.6,3,4.89,3.66,2016-11-09T11:45:38Z
9974801,3340221,eatbeefgoham,108,NA,NA,NA,1.62,2016-11-13T13:45:19Z
6701034,3325424,12T,560,NA,NA,NA,1.69,2016-11-09T08:32:37Z
21197232,3405316,clarkyclark,15,2,1.6,15.24,7.21,2016-12-01T23:25:54Z
1257897,3301394,Amiri220,5,2,3.2,5.16,2.77,2016-11-02T12:06:32Z
6350288,3323937,sergunguz,165,1.33,0.25,54.87,4.89,2016-11-08T22:28:04Z
11266659,3347455,Etcshaman,500,NA,NA,NA,1.63,2016-11-15T14:18:46Z
16474406,3379849,Kevins,1366,1.13,0,177.58,1.38,2016-11-24T18:01:56Z
9158824,3335919,xrnath,29,1.01,1.48,0.72,1.09,2016-11-12T08:05:41Z
23757181,3418374,Shadowshot2,100,1.6,3.04,63.04,2.17,2016-12-05T16:58:27Z
24254813,3420869,storrealba,1,1.07,0,0.07,1.85,2016-12-06T09:48:04Z
21741558,3408005,vorodmit,289,NA,NA,NA,3.55,2016-12-02T17:38:44Z
6510369,3324621,simku2300,242,NA,NA,NA,1.74,2016-11-09T03:03:47Z
12369545,3354155,trueeasy,30,NA,NA,NA,2.48,2016-11-17T11:42:54Z
9420268,3337159,bientutti,3,1.15,0,0.45,3.52,2016-11-12T16:36:35Z
8855475,3334500,dim4659,1,3.5,3,2.53,4.29,2016-11-11T22:32:18Z
25566878,3428280,xopek33,9,NA,NA,NA,1.34,2016-12-08T11:42:32Z
1951526,3304976,Zommau,10000,1.5,3.2,5319.93,2.44,2016-11-03T12:43:27Z
1185493,3301032,Su2Lanut,100,NA,NA,NA,3.99,2016-11-02T09:45:55Z
3454633,3311920,WalshyDev,500,1.2,2.81,114.05,1.33,2016-11-05T12:15:45Z
22428736,3411615,megainvest,36,NA,NA,NA,1.51,2016-12-03T18:27:13Z
11992451,3351745,lelyka16,10,1.12,0,1.2,1.38,2016-11-16T19:16:46Z
9249022,3336381,terriri2,105,2,0,105,26.17,2016-11-12T11:14:06Z
12281993,3353642,BeatsByNav,5,1.04,0,0.2,7.29,2016-11-17T08:15:47Z
2225975,3306279,sega55,130,NA,NA,NA,1.08,2016-11-03T21:26:52Z
18894083,3394341,mennoluckpls,25000,1.21,0,5250,64.46,2016-11-28T19:14:24Z
10186178,3341238,Mineplex,200,1.3,0,60,3.05,2016-11-13T20:40:41Z
19984839,3399829,bagen,16,NA,NA,NA,3.06,2016-11-30T09:28:18Z
647309,3298099,Albert1985,1,NA,NA,NA,1.23,2016-11-01T13:43:28Z
12099688,3352409,Gabryciarm,64,NA,NA,NA,1.03,2016-11-16T23:42:57Z
16982036,3382786,Ackaron,4,NA,NA,NA,1.09,2016-11-25T13:48:15Z
15287728,3372917,Johnny91,1,1.45,2,0.47,2.43,2016-11-22T18:54:35Z
12257282,3353501,bertoyabang,800,1.07,0,56,1.35,2016-11-17T07:16:08Z
19206532,3396051,berg,1700,1.03,0,51,4.41,2016-11-29T07:20:02Z
16192351,3378264,GanjaMan,20000,NA,NA,NA,2.33,2016-11-24T07:16:05Z
21851093,3408575,Gabryciarm,1,NA,NA,NA,1.5,2016-12-02T21:40:06Z
3280281,3311218,cowbay,10,1.34,1.4,3.54,1.38,2016-11-05T07:28:18Z
12136800,3352690,solo121,125,2.2,2.46,153.07,4.01,2016-11-17T01:38:31Z
10621777,3343593,planet2,10,1.29,0,2.9,3.48,2016-11-14T12:23:07Z
324290,3296478,tarina,27,NA,NA,NA,1.33,2016-11-01T02:54:07Z
8313733,3332343,pembo,1538,1.01,2.42,52.63,1.08,2016-11-11T07:33:48Z
23337358,3416237,min2838,100,1.3,2.64,32.64,4.54,2016-12-05T02:15:10Z
20186539,3400783,Ralphie15,8,2,1.63,8.13,2.65,2016-11-30T16:00:17Z
23389966,3416551,bustacoin2017,8,NA,NA,NA,1.37,2016-12-05T04:25:46Z
15013493,3371411,deva,200,2.08,3.71,223.41,2.1,2016-11-22T08:43:13Z
21721535,3407914,murzilka,30000,1.07,0,2100,3.16,2016-12-02T17:05:41Z
1164678,3300931,haihien999,444,NA,NA,NA,1.17,2016-11-02T09:04:33Z
23877181,3418925,dantrapp,303,NA,NA,NA,1.18,2016-12-05T20:42:01Z
6201289,3323335,darkfreeze2,20,1.09,0,1.8,3.04,2016-11-08T18:17:16Z
25231150,3426141,rockoo,1,NA,NA,NA,1.96,2016-12-07T21:14:06Z
24605519,3422662,blacksilver2,10,1.1,2.8,1.28,1.2,2016-12-06T21:57:30Z
5071163,3318775,bonprix,6,1.04,3.33,0.44,1.06,2016-11-07T10:54:43Z
12955641,3357920,Shadowshot,89,1.1,0,8.9,2.96,2016-11-18T13:17:24Z
1277390,3301498,meanmachine1,250,1.1,0,25,11.93,2016-11-02T12:48:07Z
1497392,3302593,Ashikune,200,NA,NA,NA,1,2016-11-02T20:17:51Z
8938331,3334868,telek,10,NA,NA,NA,1.84,2016-11-12T01:04:23Z
24346494,3421269,sanya1206,160,1.37,0,59.2,11.35,2016-12-06T12:37:43Z
5716059,3321449,newbie12345,37,NA,NA,NA,1.05,2016-11-08T05:26:55Z
14705859,3369422,olgazed,5,1.1,0,0.5,1.96,2016-11-21T18:48:41Z
11940086,3351452,BitWizards134x,100,1.34,2.5,36.5,5.3,2016-11-16T17:15:00Z
23329490,3416189,koc79,5,1.07,0,0.35,1.51,2016-12-05T01:53:58Z
12087029,3352310,TheSemenator,300,6.47,3.44,1651.31,6.69,2016-11-16T23:04:00Z
8350683,3332499,Radeon,1,1.1,3,0.13,1.12,2016-11-11T08:40:50Z
4744376,3317251,wolfy9,342,NA,NA,NA,1.13,2016-11-07T00:46:21Z
12150841,3352788,Crystal_Meth,111,NA,NA,NA,8.55,2016-11-17T02:17:26Z
3983854,3314090,orlovesky,10000,NA,NA,NA,1.51,2016-11-06T02:58:00Z
10400776,3342323,alexsoft76,100,1.33,1.39,34.39,4.18,2016-11-14T03:55:08Z
20949580,3404261,slavitew,17,1.01,0,0.17,1.9,2016-12-01T16:11:17Z
22725830,3413089,swagdudeyolo123,10,5.01,1.3,40.23,8.05,2016-12-04T04:50:00Z
10010306,3340403,speculyant777,49,1.25,0,12.25,3.95,2016-11-13T14:59:28Z
7450652,3328587,stringesco,3,1.04,0,0.12,4.59,2016-11-10T06:22:44Z
6595384,3324988,Creck80,160,1.33,0,52.8,1.78,2016-11-09T05:31:08Z
9245229,3336363,setco,1,1.43,7,0.5,3.92,2016-11-12T11:05:20Z
19356298,3396788,TheSwan,7,1.6,2,4.34,1.9,2016-11-29T12:16:02Z
868976,3299219,serg611,100,2.1,3.2,113.2,4.13,2016-11-01T21:24:31Z
21262056,3405695,Annakent,7,10,3.43,63.24,11.26,2016-12-02T01:49:02Z
18205421,3390432,hkabay,1000,1.2,0,200,5.08,2016-11-27T16:41:42Z
4025769,3314284,ShadowshotBank,2,2.16,3,2.38,173.86,2016-11-06T04:19:04Z
6157032,3323157,sizeopt,11,1.04,0,0.44,1.84,2016-11-08T16:59:14Z
11361056,3347955,gskmr1,10,1.02,0,0.2,1.3,2016-11-15T17:41:16Z
16029915,3377205,bagenof,7,NA,NA,NA,2.86,2016-11-24T00:09:22Z
10425499,3342468,Bill_K,10,NA,NA,NA,1.42,2016-11-14T05:01:25Z
1559056,3302915,Dalles,1,1.13,0,0.13,4.81,2016-11-02T22:29:20Z
20561968,3402539,ElenaV,2,NA,NA,NA,2.77,2016-12-01T04:11:48Z
26919660,3436273,Supergeil,6,1.22,1.33,1.4,1.68,2016-12-10T18:07:12Z
10298026,3341760,fatihakif,10,NA,NA,NA,1.01,2016-11-14T00:15:35Z
7278389,3327781,bobo12,3,1.45,0,1.35,5.98,2016-11-10T00:48:54Z
10156394,3341107,boyka2,70,1.25,0,17.5,7.62,2016-11-13T19:51:31Z
6602398,3325016,luponero,21,1.33,3,7.56,2.03,2016-11-09T05:44:06Z
8911953,3334750,josephwrangler,30,1.21,0,6.3,3.62,2016-11-12T00:20:29Z
25841834,3429874,Dreamsinreality,622,1.46,1.92,298.04,6.61,2016-12-08T22:39:23Z
20714044,3403239,CIP1,5,NA,NA,NA,6.32,2016-12-01T09:03:54Z
8123053,3331484,smvm,1,1.04,0,0.04,2.73,2016-11-11T01:42:31Z
18872892,3394237,meanmachine1,500,1.19,0,95,25.39,2016-11-28T18:33:01Z
20267956,3401128,Ramzen,1,NA,NA,NA,1.14,2016-11-30T18:24:33Z
25955588,3430685,onise222,3,NA,NA,NA,2.17,2016-12-09T04:08:21Z
24523925,3422204,HD2020,10,1.22,0,2.2,1.88,2016-12-06T18:53:14Z
24597702,3422620,zontamp,200,1.11,2.08,26.15,7.46,2016-12-06T21:40:04Z
4715207,3317117,artyom18844,82,1.49,0,40.18,9.53,2016-11-06T23:47:17Z
24458106,3421840,INOTHZ,1000,NA,NA,NA,1.12,2016-12-06T16:23:18Z
21033330,3404573,hkabay,1500,1.05,0,75,1.88,2016-12-01T18:20:40Z
10748565,3344275,mrschook,1144,1.36,4.01,457.76,2.71,2016-11-14T16:58:22Z
19254660,3396292,sfast,1,NA,NA,NA,1.04,2016-11-29T08:57:18Z
20288936,3401219,contrav,24,1.18,0,4.32,2.86,2016-11-30T19:05:17Z
19924625,3399561,fluffydog,32,2,3.94,33.26,6.25,2016-11-30T07:33:48Z
13355341,3360672,Taupe,97,1.13,0,12.61,1.97,2016-11-19T07:40:08Z
4074330,3314501,Jatin,500,NA,NA,NA,2.07,2016-11-06T05:50:06Z
24205656,3420641,OnTheMoon22,25,NA,NA,NA,1.69,2016-12-06T08:20:47Z
25948702,3430638,rovaz,1,NA,NA,NA,1.04,2016-12-09T03:48:43Z
21722819,3407920,krwok,8001,1.01,1.53,202.18,1.73,2016-12-02T17:07:49Z
18215953,3390491,tonna1945,2,1.93,4.5,1.95,4.55,2016-11-27T17:08:13Z
20053161,3400167,dusterbutt,320,NA,NA,NA,1.55,2016-11-30T11:44:13Z
21561086,3407178,RIPFrenna,6,10,4.33,54.26,26.84,2016-12-02T12:00:04Z
25727754,3429218,manahmanah,4,1.25,0,1,2.82,2016-12-08T18:03:13Z
16362161,3379255,vsvlv,31,1.15,0.29,4.74,1.56,2016-11-24T14:02:41Z
15779116,3375736,OnTheMoon22,211,NA,NA,NA,3.3,2016-11-23T14:02:23Z
20125657,3400511,DUMbl4,1,1.5,3,0.53,1.87,2016-11-30T14:09:29Z
9387941,3337014,RoberBaron,175,1.12,1.37,23.39,1.77,2016-11-12T15:33:13Z
11869244,3351071,Radeon,1,1.1,2,0.12,1.81,2016-11-16T14:39:00Z
15686595,3375203,Shadowshot,130,1.11,0,14.3,18.17,2016-11-23T10:27:08Z
22481059,3411851,Tyrant,13,NA,NA,NA,1.49,2016-12-03T20:07:00Z
11969238,3351611,ubite,500,NA,NA,NA,1.17,2016-11-16T18:23:33Z
14177440,3365893,Angel777fire,4,1.98,1.75,3.99,2.79,2016-11-20T18:59:58Z
7672882,3329571,jedaj,58,NA,NA,NA,2.51,2016-11-10T13:01:35Z
1769830,3304076,BOOJA,10000,NA,NA,NA,1.12,2016-11-03T06:27:42Z
22252059,3410773,xopek33,4,NA,NA,NA,1.08,2016-12-03T12:33:08Z
14747181,3369677,Cpete1210,100,1.3,0,30,2.36,2016-11-21T20:39:24Z
23118261,3415036,Malfoy,9,1.19,0,1.71,1.8,2016-12-04T18:06:14Z
17641725,3386917,TInuMN,10,1.05,0,0.5,1.8,2016-11-26T17:02:50Z
13946165,3364555,megainvest,39,NA,NA,NA,3.21,2016-11-20T10:03:32Z
5142143,3319063,dsliesrn,58,1.13,0,7.54,1.46,2016-11-07T13:02:12Z
22130191,3410157,Hamtaro,314,NA,NA,NA,3.02,2016-12-03T08:29:14Z
2878311,3309381,cliffhangers,8,NA,NA,NA,3.36,2016-11-04T18:46:12Z
1928877,3304864,zzanggu,300,NA,NA,NA,2.74,2016-11-03T11:56:30Z
4913697,3318048,Angel777fire,4,NA,NA,NA,1.9,2016-11-07T05:54:33Z
23527871,3417320,netkrool,64,2,5.56,67.56,3.29,2016-12-05T09:41:36Z
8554488,3333299,speculyant777,8,5,2.13,32.17,10.08,2016-11-11T14:29:55Z
21035426,3404581,grodno1128,1,2,4,1.04,2,2016-12-01T18:23:47Z
16386094,3379380,covalsahio,27,NA,NA,NA,1.32,2016-11-24T14:55:43Z
25540651,3428113,john421,400,1.05,0,20,1.44,2016-12-08T10:34:42Z
15589105,3374709,Seller,138,NA,NA,NA,1.27,2016-11-23T07:06:17Z
25537340,3428092,ElenaV,9,NA,NA,NA,3.57,2016-12-08T10:26:37Z
22573405,3412285,crackerjacker,10000,1.9,1.45,9144.52,6.37,2016-12-03T23:03:36Z
26404930,3433367,Mattman,6,1.41,2.5,2.61,12.9,2016-12-09T22:15:18Z
16619221,3380655,Adaptation,147,1.05,0,7.35,1.22,2016-11-24T23:26:41Z
12222492,3353274,nguyenquocduy,13,NA,NA,NA,1.35,2016-11-17T05:41:24Z
22790444,3413418,MARLBOROLIGHTS,500,1.23,0,115,2.14,2016-12-04T07:09:33Z
22055175,3409800,luckyfive,20,1.5,1.2,10.24,2.44,2016-12-03T06:01:52Z
5807407,3321815,alex91,50,1.22,0,11,1.88,2016-11-08T07:52:49Z
20716311,3403250,ZakiYasfin,1000,1.2,1.28,212.8,13.3,2016-12-01T09:09:32Z
264987,3296143,lptp,1,1.2,3,0.23,5.57,2016-11-01T00:33:19Z
21028781,3404556,xopek33,24,NA,NA,NA,1.12,2016-12-01T18:15:02Z
14766687,3369793,stevemoley,79000,1.01,2.28,2590.6,1.09,2016-11-21T21:31:29Z
21329338,3406083,BitcoinWizards,500,1.23,3.19,130.93,4.11,2016-12-02T04:28:50Z
24975390,3424745,Pasquale87,6,NA,NA,NA,1.35,2016-12-07T11:58:17Z
925534,3299523,stuballs,5,NA,NA,NA,1.25,2016-11-01T23:32:33Z
25902652,3430314,vovaldo5566,1,1.35,0,0.35,5.04,2016-12-09T01:38:54Z
26598126,3434620,inazuma,4,NA,NA,NA,1.04,2016-12-10T06:41:34Z
10532751,3343107,riptome,134,NA,NA,NA,1.36,2016-11-14T09:14:07Z
1308386,3301654,ArhtuBan,41340,NA,NA,NA,1.22,2016-11-02T13:54:05Z
4595786,3316600,drone,7,NA,NA,NA,0,2016-11-06T20:09:40Z
3264119,3311145,payje555,200,NA,NA,NA,1.37,2016-11-05T07:00:27Z
15615127,3374848,Gabryciarm,3,NA,NA,NA,2.73,2016-11-23T08:02:30Z
12874097,3357364,x9229k,7,1.2,3.86,1.67,1.44,2016-11-18T09:34:55Z
3723519,3313013,bcn000,1,NA,NA,NA,2.23,2016-11-05T19:42:50Z
12712654,3356233,srp1710,33,1.13,2.33,5.06,2.27,2016-11-18T01:55:52Z
7706752,3329713,Gachi,164,NA,NA,NA,1.26,2016-11-10T13:53:41Z
2569393,3308011,avtandillom,1,NA,NA,NA,2.17,2016-11-04T09:31:51Z
4041177,3314353,railsgers,28,1.04,0,1.12,3.72,2016-11-06T04:47:11Z
18430378,3391744,Knox,500,NA,NA,NA,2.6,2016-11-28T01:31:36Z
7280418,3327790,kerotech98,3,NA,NA,NA,1.63,2016-11-10T00:53:39Z
24811216,3423854,Shustrichek,10,NA,NA,NA,2.51,2016-12-07T06:06:12Z
5423216,3320162,tolkach03,1,NA,NA,NA,1.23,2016-11-07T20:26:41Z
3214704,3310932,dakadea,18,1.04,0,0.72,1.5,2016-11-05T05:38:19Z
24851690,3424075,simas,30,NA,NA,NA,1.07,2016-12-07T07:35:16Z
16263782,3378699,karp,1,1.1,0,0.1,1.74,2016-11-24T10:11:32Z
12607257,3355489,krwok,5000,1.21,2.13,1156.73,2.55,2016-11-17T20:46:52Z
3999014,3314162,thegamebeoi,24,1.04,0,0.96,1.35,2016-11-06T03:28:35Z
24575122,3422494,Remaic859zh,5,NA,NA,NA,3.05,2016-12-06T20:47:29Z
8079839,3331290,benjovis,1,1.04,0,0.04,4.63,2016-11-11T00:21:00Z
14809520,3370086,drsv,57,1.04,4.68,4.95,1.09,2016-11-21T23:31:32Z
12959531,3357947,TheRealNyanCat,33,1.34,2.55,12.06,6.61,2016-11-18T13:30:20Z
24828123,3423949,VAYozh,1,2,1,1.01,4.41,2016-12-07T06:43:47Z
19971570,3399771,Hoangthien68,439,NA,NA,NA,0,2016-11-30T09:04:27Z
45806,3295006,suk2394715,10,NA,NA,NA,1.22,2016-10-31T16:58:20Z
22098626,3410006,bustabitmoney,25,NA,NA,NA,1.27,2016-12-03T07:28:16Z
21195560,3405307,Mattman,31,2,3.06,31.95,18.87,2016-12-01T23:22:15Z
17508643,3386106,Kipper,61,NA,NA,NA,1.01,2016-11-26T11:49:37Z
26345860,3432995,leus,4,NA,NA,NA,1.08,2016-12-09T19:50:54Z
17038057,3383102,Crystal_Meth,377,NA,NA,NA,3.56,2016-11-25T15:52:21Z
3380332,3311630,Tulus72,20,NA,NA,NA,2.32,2016-11-05T10:21:06Z
2801392,3309037,thomashook,7700,2.03,1.19,8022.58,5.54,2016-11-04T16:23:11Z
18336458,3391152,Knox,500,NA,NA,NA,2.86,2016-11-27T21:34:18Z
18576049,3392725,maxad,1,5,2,4.02,5.06,2016-11-28T08:05:35Z
16920888,3382435,Annakent,3,NA,NA,NA,1.4,2016-11-25T11:36:10Z
1451035,3302362,drmaxik,250,2,4.8,262,2.89,2016-11-02T18:42:30Z
26571504,3434454,metis777,1500,1.03,4.11,106.64,1.2,2016-12-10T05:35:27Z
4683989,3316975,dagentlemang,726,1.17,0,123.42,10.87,2016-11-06T22:47:29Z
2866083,3309327,ubersaki,7,NA,NA,NA,7.09,2016-11-04T18:22:47Z
2313761,3306737,sergunguz,50,1.27,0,13.5,9.98,2016-11-04T00:25:28Z
14032504,3365053,Bator,2,1.14,0,0.28,2.13,2016-11-20T13:21:52Z
14899973,3370745,Remaic859zh,7,NA,NA,NA,1.17,2016-11-22T04:01:47Z
14049258,3365150,bagenof,2,NA,NA,NA,1.02,2016-11-20T13:57:17Z
4985526,3318397,a223532,1000,1.1,1.58,115.83,2.76,2016-11-07T08:11:03Z
24439586,3421732,Host,16,NA,NA,NA,1.69,2016-12-06T15:38:30Z
25415159,3427351,frugativisub,339,1.6,2.02,210.25,2.51,2016-12-08T05:22:59Z
8761221,3334087,Godisone,377,1.1,2.62,47.56,1.23,2016-11-11T19:41:18Z
4576183,3316519,Dreamsinreality,20000,NA,NA,NA,1.37,2016-11-06T19:41:36Z
13764445,3363367,coinminers,7,2.19,3.43,8.57,20.84,2016-11-20T02:05:31Z
18967218,3394703,boykoaleks,1,1.25,0,0.25,1.82,2016-11-28T21:43:43Z
8143878,3331579,wqeqwfsd3,5,NA,NA,NA,1.19,2016-11-11T02:21:12Z
13374798,3360812,Radeon,50,1.1,0,5,2.06,2016-11-19T08:41:27Z
10832593,3344715,foxmlg,7,1.13,0.29,0.93,5.38,2016-11-14T19:51:20Z
8615960,3333515,ketchell,2,1.04,0,0.08,1.21,2016-11-11T15:53:49Z
23568526,3417518,ShadowshotBank,1,1.11,0,0.11,2.98,2016-12-05T11:01:05Z
1028438,3300137,megainvest,478,2.13,4.81,563.13,2.42,2016-11-02T03:35:08Z
