product_id,rating,reviews
CJ7974,4.7,53.0
CL7588,3.4,8.0
CL7407,4.8,91.0
CL7406,0.0,85.0
CK9420,4.6,2.0
CL7389,3.5,40.0
CL7516,4.8,28.0
CI9989,2.2,18.0
CL7405,3.8,49.0
CL7473,3.5,3.0
CJ8110,2.5,7.0
CJ8019,4.6,53.0
CK9604,3.9,26.0
CK9431,1.5,49.0
EE7289,3.7,58.0
B75580,4.3,79.0
CK9432,2.5,17.0
EE4925,2.8,93.0
EE4953,2.0,32.0
CL7469,2.0,97.0
EF8858,1.0,29.0
EF9219,4.5,89.0
CL7513,2.7,62.0
EE7098,3.9,22.0
CL7425,4.9,85.0
CL7508,4.0,47.0
EE7292,4.2,38.0
CL7589,3.0,40.0
CJ8061,3.7,92.0
EE5847,4.7,20.0
CK9686,4.1,43.0
EE4567,4.4,85.0
EE5585,3.8,37.0
B96519,5.0,31.0
B96563,2.8,16.0
CL7547,4.7,42.0
EE4563,4.2,82.0
CK9714,,
F36475,4.6,84.0
FV8794,5.0,44.0
EE5177,3.0,76.0
CL7582,3.8,12.0
F36339,4.1,39.0
EF1963,2.2,12.0
F34442,4.1,26.0
EE9933,4.2,89.0
EE6090,2.4,16.0
B75583,4.5,76.0
EE7922,4.6,93.0
EE5081,2.9,51.0
EE4678,4.1,34.0
CM0076,4.4,39.0
B28156,4.9,54.0
EF0527,4.1,81.0
EE4566,3.3,60.0
EE8302,4.2,19.0
CM0075,3.4,57.0
EF0152,2.2,16.0
CM0093,3.7,2.0
F36218,4.5,39.0
CM0083,4.0,58.0
CM0078,3.0,38.0
CM0079,2.9,64.0
CM0074,4.2,22.0
CM0073,4.4,93.0
CM0092,2.6,54.0
EG8672,0.0,27.0
EG8480,4.4,80.0
EG3148,4.0,9.0
CM0082,3.6,29.0
EG3185,4.7,31.0
EG4006,3.9,1.0
EG4007,3.2,94.0
EH1178,4.3,65.0
EG4316,3.4,6.0
EG3253,2.5,67.0
EG4314,3.8,36.0
EH1379,4.9,45.0
EH2586,0.0,4.0
EG3698,2.7,11.0
EH0165,2.8,35.0
EH1211,3.2,85.0
CK9665,4.9,72.0
CK9663,1.5,74.0
EG3953,2.9,77.0
EG4176,3.9,14.0
CI9916,0.0,84.0
EG4175,3.0,94.0
EG4004,2.5,17.0
CJ8068,2.6,60.0
CK9681,,
EE9731,2.9,99.0
CK9591,2.4,35.0
CK9648,4.6,36.0
CK9602,2.9,37.0
F34491,3.0,59.0
CK9693,4.6,88.0
CJ8013,4.0,77.0
CL7567,3.8,31.0
CK9694,4.5,63.0
CL7604,2.8,34.0
CL7488,4.9,73.0
CK9436,1.0,41.0
CK9592,1.5,2.0
CL7366,4.2,84.0
CK9661,2.6,70.0
CK9650,2.6,47.0
CL7415,4.3,94.0
CL7626,3.7,48.0
CJ7990,4.6,30.0
CL7534,4.5,98.0
CL7413,3.8,4.0
CK9500,5.0,31.0
CL7369,4.1,79.0
EE8156,4.1,96.0
CL7607,3.2,21.0
CL7385,4.5,16.0
EE9856,4.3,81.0
EE8260,4.4,36.0
EE8448,2.8,95.0
EE8181,3.2,28.0
CK9682,3.3,22.0
CL7377,4.5,82.0
CL7605,2.5,7.0
EE9734,4.7,32.0
EF1053,4.2,70.0
EE7925,2.4,22.0
CL7614,2.8,46.0
EE9847,3.5,21.0
EG3289,2.8,34.0
CL7615,4.7,86.0
CL7276,4.9,1.0
CL7453,4.0,20.0
CL7329,4.2,1.0
CL7387,4.4,25.0
CM4762,2.4,37.0
CM4984,3.7,95.0
CM4691,3.4,53.0
CM4826,4.1,49.0
CM0015,4.1,79.0
EE8603,2.9,90.0
CL7496,4.2,84.0
EE8444,3.3,19.0
CM4827,,
CM0014,4.5,0.0
CM4737,2.5,4.0
EF0440,3.7,63.0
EE9748,3.9,43.0
EG4223,3.1,21.0
CM0013,3.9,35.0
B44880,2.7,23.0
F34876,1.0,40.0
EE8836,0.0,14.0
EF0523,2.0,95.0
EH1858,3.6,20.0
EG3821,3.5,21.0
EF4458,3.2,88.0
EG3291,4.3,82.0
EF5928,2.2,99.0
EH1859,4.1,53.0
CM4828,4.7,15.0
EG3295,3.4,35.0
CM4985,2.8,57.0
CM4964,2.8,8.0
CM4690,4.9,26.0
EF4970,3.1,24.0
CM0010,5.0,75.0
EF6877,2.4,17.0
FW6635,3.2,34.0
CM4760,4.8,62.0
DB3258,3.5,38.0
EF4375,2.5,17.0
EE7159,4.4,33.0
CM4983,4.2,80.0
EE8925,4.1,45.0
G27722,3.1,72.0
EG2012,4.2,13.0
EG9825,0.0,48.0
EF4966,4.6,71.0
EH1389,3.1,46.0
EG9824,3.2,86.0
EF6058,3.5,89.0
EF6508,4.9,34.0
EG5475,1.0,93.0
EF5320,2.8,88.0
EF5642,4.8,7.0
EE7160,4.5,90.0
EF5547,2.9,88.0
EG7753,2.7,16.0
EF5549,5.0,79.0
EF5314,4.1,10.0
EF4933,2.9,24.0
EG9829,4.3,12.0
EG7876,4.7,94.0
EF4935,4.4,84.0
EF4983,4.8,13.0
EG9053,,
EF4374,4.2,93.0
EH3522,5.0,43.0
EG0576,2.0,67.0
EF6507,4.9,3.0
EF5386,5.0,73.0
CL7520,2.8,91.0
EG0578,2.9,53.0
EG6920,4.7,29.0
EG6846,4.1,28.0
EE9854,2.2,60.0
CL7456,4.6,36.0
EE9733,1.5,41.0
CL7333,4.3,70.0
EE9729,4.9,88.0
EG6845,4.8,77.0
EE8202,4.7,95.0
CL7361,5.0,18.0
EE8265,2.0,25.0
EE8604,3.2,77.0
EF1052,4.7,68.0
EF1051,2.2,53.0
EE9732,3.6,63.0
EF0433,4.3,34.0
EE9895,4.9,87.0
EE8128,4.5,42.0
EE7928,1.0,78.0
EE9266,4.8,8.0
CL9915,4.6,23.0
CL7533,3.1,85.0
CM0012,2.4,99.0
CM0032,2.7,72.0
EE8200,4.4,69.0
CL7332,1.5,85.0
F37008,5.0,30.0
EE9728,3.7,0.0
B75581,2.6,88.0
F34851,2.0,74.0
EF0434,4.9,24.0
CM0008,3.5,95.0
CL7487,2.7,39.0
EE8212,4.5,28.0
CL7465,3.4,11.0
EE9758,3.5,34.0
CL7334,3.6,91.0
EE9735,3.1,42.0
CL9925,2.5,81.0
F34820,3.8,59.0
CM0023,1.0,27.0
EF0584,3.5,6.0
CL7307,2.6,47.0
BB7066,2.9,38.0
CM0033,2.5,83.0
CL7443,,
CL9962,3.1,98.0
CK9685,3.5,56.0
CJ7959,3.8,62.0
CL7546,4.4,15.0
CL7286,3.5,72.0
CJ8018,4.6,7.0
CK9447,4.9,35.0
B96555,4.3,21.0
G28939,3.1,48.0
FV3428,4.4,40.0
FV3289,4.8,24.0
CK9528,5.0,65.0
CK9603,1.0,44.0
CL7566,2.9,75.0
FV3671,4.9,87.0
FV3335,3.3,11.0
FV3675,3.7,2.0
EG8690,4.2,64.0
F36642,3.0,56.0
CG4045,2.6,57.0
CL7633,4.4,3.0
FV3334,2.9,74.0
FV3361,3.8,86.0
EG5345,4.9,58.0
FV3353,4.2,54.0
FV3187,3.5,28.0
FV3631,1.5,14.0
FU7134,2.8,69.0
FV3374,4.1,78.0
FV3336,3.4,37.0
FU9352,2.7,80.0
FV3327,3.4,28.0
FU9350,3.2,1.0
FW1646,2.2,75.0
FV3186,0.0,76.0
FV3294,4.0,39.0
FW9618,4.3,80.0
FV3352,4.1,82.0
FW1647,1.0,53.0
FW8423,3.7,69.0
EE6822,4.6,58.0
FV3290,4.1,91.0
FV3305,1.0,75.0
EE8081,3.2,97.0
B37680,4.0,14.0
CG6270,3.2,31.0
CQ2031,2.7,11.0
CG6037,4.8,17.0
EF3539,2.5,29.0
EE4919,4.2,38.0
FU9349,4.0,48.0
CL9960,3.3,25.0
EF0091,,
CL9968,4.9,0.0
F33805,2.9,5.0
EE6031,2.2,6.0
BC0033,4.9,30.0
EE7030,4.5,28.0
EE4923,4.7,40.0
EE6089,4.1,25.0
EE6108,4.8,65.0
CQ2460,3.5,91.0
B37681,3.0,87.0
CQ2035,4.9,39.0
CG6618,2.7,41.0
FV3667,0.0,39.0
CQ2044,2.9,80.0
FW9617,2.8,12.0
CM4692,4.0,0.0
B44619,4.2,56.0
CP9514,2.4,87.0
FV6058,4.2,65.0
G27720,4.2,25.0
CQ2333,3.6,27.0
FV6057,3.9,98.0
FV6056,4.3,66.0
EE5521,0.0,41.0
B37974,4.0,83.0
BD7575,2.0,86.0
EE7026,3.2,50.0
EE6256,4.6,69.0
CM4548,2.4,51.0
G54050,4.3,67.0
CI1741,2.9,99.0
EE6660,2.6,14.0
EE7243,1.0,10.0
EE6668,2.9,4.0
EE5086,4.4,82.0
CM0027,4.9,7.0
EF8973,0.0,57.0
G28940,3.6,70.0
CJ8059,4.0,57.0
CI9941,2.8,58.0
CL4158,2.0,76.0
BB3293,4.6,82.0
EE5640,4.1,10.0
CM0063,3.6,52.0
CL9946,0.0,33.0
CM0071,4.5,65.0
CM0051,5.0,1.0
CM0087,2.0,30.0
CM0048,4.8,95.0
CM0062,3.7,30.0
G28449,4.2,47.0
CM0086,2.4,72.0
CL7643,,
CM0067,2.8,17.0
CL7559,4.6,66.0
CJ7994,2.0,62.0
CM0059,4.1,6.0
CL7462,2.4,57.0
CK9680,2.5,68.0
CM0024,3.7,61.0
CL9924,4.3,91.0
F34564,4.3,59.0
CJ7972,3.6,70.0
CL7283,3.2,82.0
CK9465,3.6,47.0
EE9514,1.5,83.0
CM0047,4.9,45.0
G27026,2.4,31.0
F36338,3.7,71.0
CJ8077,3.9,49.0
CM0028,1.5,44.0
CL9939,4.3,28.0
CM0056,2.6,31.0
CL9916,5.0,71.0
CL9950,1.0,16.0
EE9973,4.7,81.0
CL7359,4.9,24.0
BB7614,4.2,34.0
CL9965,2.9,2.0
CQ1176,4.5,81.0
CL9913,4.4,59.0
EE8115,2.5,12.0
EE7497,5.0,67.0
F97209,2.4,82.0
EE8114,3.9,1.0
CM0046,2.2,84.0
EF0133,4.6,99.0
EE9969,2.8,74.0
EG8062,1.0,45.0
EE9867,1.0,14.0
EE6187,4.0,6.0
EF1037,4.7,24.0
EE9833,2.8,69.0
EE9835,2.5,1.0
B96508,5.0,92.0
AQ1136,3.4,65.0
CQ2029,2.8,53.0
EE9862,0.0,30.0
EE8325,2.8,47.0
BY2976,4.1,26.0
EE9970,5.0,3.0
EE9840,4.6,33.0
EF0130,2.7,64.0
F34882,3.9,40.0
CQ2042,4.4,53.0
B37538,,
EF0135,4.5,12.0
AQ1141,2.8,68.0
BD8017,3.8,2.0
EF1036,4.6,87.0
FV3914,2.4,84.0
B28041,4.9,51.0
B37534,4.9,81.0
EF1899,3.5,54.0
EE5615,3.6,85.0
CQ2034,3.9,15.0
EF4457,3.9,52.0
CQ2530,0.0,54.0
EE8220,3.7,53.0
EE5182,2.2,57.0
AW4212,3.1,48.0
CG6025,0.0,85.0
EE5175,4.0,69.0
CG6142,4.2,45.0
EE5917,1.0,79.0
EE5567,3.8,81.0
DA8966,4.1,22.0
EE4679,2.9,17.0
F34751,3.7,67.0
EE4682,4.4,91.0
F36389,2.5,14.0
CK9720,4.6,61.0
CG3527,4.3,19.0
EF3533,3.1,23.0
CK9728,1.0,85.0
BB7218,3.7,93.0
BB2270,2.2,78.0
BB7235,2.4,51.0
BB7231,3.3,15.0
BB7219,4.7,54.0
CL4155,4.2,10.0
EE5876,3.9,4.0
EE5303,3.4,27.0
EE4938,2.5,91.0
EE5179,4.8,83.0
BZ0632,4.5,76.0
CM4550,2.6,3.0
CL9934,2.6,43.0
CL7379,0.0,84.0
CL9919,3.0,88.0
G27860,4.1,95.0
CJ3412,3.9,10.0
CL7631,4.2,92.0
CL7273,3.8,3.0
CL7630,3.0,44.0
EE9848,4.1,10.0
CL7617,3.5,42.0
BB9775,4.6,1.0
CL7536,,
B37343,2.4,52.0
G28225,4.0,19.0
DB3539,3.7,88.0
G26777,2.4,26.0
CJ0081,4.1,11.0
EE8333,2.9,61.0
CQ1175,4.6,33.0
DA9306,1.0,42.0
F36163,4.2,32.0
CL7411,2.8,55.0
CL7444,3.7,20.0
EE7879,2.0,16.0
EE9676,4.5,55.0
EE7600,2.4,42.0
EF0128,4.5,74.0
EG3489,4.0,46.0
CM4733,4.8,57.0
CM0025,2.6,69.0
CM4734,2.2,33.0
CM4736,4.3,31.0
CM4865,2.8,78.0
CM4909,4.3,21.0
CM4664,4.1,22.0
CM4798,4.1,95.0
CM4972,4.9,62.0
EG8063,2.7,25.0
CM4799,3.3,40.0
CM4665,2.6,5.0
CM4908,4.9,98.0
CM4666,4.4,5.0
CM4973,3.8,44.0
CM4632,2.0,40.0
CM4647,2.2,72.0
CM4868,2.4,30.0
CM4646,2.4,58.0
CM4718,4.6,85.0
CM4693,4.2,40.0
CM4904,2.4,90.0
CM4774,2.6,34.0
CM4617,3.4,53.0
CM4935,3.5,21.0
CM4755,3.7,86.0
EF1224,2.6,55.0
D96450,3.3,21.0
CM4618,0.0,59.0
AQ0886,2.7,41.0
B28068,5.0,61.0
CQ2618,5.0,47.0
CM4694,4.4,89.0
FV4049,4.7,93.0
G27721,4.6,66.0
BD7791,2.0,68.0
AQ1220,,
FV4329,4.4,29.0
FV4057,4.7,67.0
FV4044,3.4,93.0
FV4325,4.7,70.0
FV4331,1.0,27.0
FV4359,4.8,17.0
FV4319,2.2,5.0
FV3700,3.1,84.0
FV4318,3.3,74.0
CG6130,3.3,1.0
CG4050,0.0,37.0
FV4330,3.0,10.0
FV4317,4.8,52.0
DB0444,4.8,75.0
F36255,3.7,66.0
B96474,5.0,27.0
B37530,3.7,96.0
B37528,3.9,95.0
FV4350,4.4,40.0
B44830,4.7,87.0
B37942,4.9,7.0
B96551,3.6,87.0
B43884,3.2,2.0
B75587,4.2,20.0
F36513,3.8,55.0
F34341,3.8,28.0
D96552,1.0,78.0
D98204,2.6,55.0
G26782,3.9,30.0
EE4950,1.0,95.0
EE5018,3.3,74.0
EE5907,3.9,58.0
BY9250,4.4,2.0
BB2042,2.7,68.0
EF0321,3.8,91.0
BB2278,3.0,61.0
EE4926,4.6,24.0
EE4918,4.7,73.0
EE4928,3.8,98.0
EE8218,3.0,67.0
EE5150,2.7,34.0
B22706,4.0,81.0
CQ2740,4.7,3.0
CQ2105,3.8,89.0
CQ2106,1.0,60.0
EF3534,4.7,78.0
CQ3012,2.2,92.0
DB3277,4.2,78.0
CQ2032,2.9,73.0
BB6708,2.6,9.0
CM4937,2.5,68.0
CM4756,3.2,62.0
CM4619,,
CG6048,2.0,53.0
CG5673,3.9,13.0
EE9726,2.5,6.0
EF1421,4.4,13.0
EF0786,1.5,78.0
EE9722,4.3,77.0
EF1424,2.9,73.0
G27273,2.8,38.0
EF0812,2.8,14.0
G28062,3.4,62.0
EF0789,3.5,9.0
EF0787,5.0,33.0
G26994,2.8,83.0
F34099,5.0,20.0
EF1581,1.0,77.0
G28058,4.8,21.0
G27403,4.9,51.0
G26939,3.1,15.0
G28202,3.1,4.0
EF1164,2.4,18.0
EF8904,4.7,50.0
G28450,2.6,98.0
CM4759,3.6,71.0
EF8903,3.3,27.0
F35445,3.1,64.0
B75807,2.6,19.0
CJ0079,3.1,17.0
CM0084,2.4,64.0
EE5358,3.1,65.0
B96556,4.3,26.0
CM0035,2.4,72.0
EE4572,4.1,0.0
CL7309,2.4,96.0
CL7610,4.8,64.0
B37616,2.9,46.0
FV3032,3.6,47.0
BD7597,2.4,58.0
BZ0085,3.8,83.0
EE5083,4.9,22.0
CL7561,3.0,66.0
F97208,4.7,72.0
EE5404,2.9,94.0
CL9998,3.2,51.0
EE8373,5.0,40.0
F36418,2.9,45.0
CL9921,3.0,59.0
F35499,3.8,68.0
EE5641,4.4,34.0
F34983,3.3,69.0
F36985,5.0,15.0
B79771,5.0,65.0
CJ7956,3.7,72.0
B44882,,
CJ7995,4.1,83.0
F36467,4.5,83.0
CG4048,2.6,53.0
F34437,4.1,13.0
CG6205,4.2,25.0
EG8695,4.5,44.0
B41939,4.9,85.0
CG6199,2.0,83.0
B37720,3.8,24.0
AQ1087,1.0,70.0
B37759,1.0,30.0
AQ1027,3.2,17.0
B37990,3.8,29.0
B37651,3.8,51.0
B28164,4.9,92.0
B28163,2.7,34.0
B37983,4.9,77.0
DB2689,4.3,50.0
CG6056,4.4,20.0
CG6460,2.5,2.0
CG6108,4.8,19.0
BD8024,2.2,98.0
D96444,2.6,10.0
BD8007,2.6,4.0
CG6065,2.5,74.0
G27719,2.2,90.0
CG6187,4.1,55.0
G27648,5.0,14.0
EE8279,2.4,39.0
EE8247,4.9,34.0
EE8612,3.6,37.0
CQ1068,4.8,63.0
B37635,3.4,71.0
DB3065,3.2,48.0
CQ1092,4.8,24.0
DB3083,2.5,82.0
CG6222,0.0,64.0
DB3078,4.0,7.0
DB2707,3.9,52.0
D96553,3.5,0.0
EF0580,3.2,73.0
EF0581,3.5,46.0
G25848,4.2,86.0
EE9745,2.6,85.0
EE7899,2.5,43.0
G28386,2.7,83.0
EE6784,1.5,18.0
DB3349,4.8,93.0
EE6816,3.4,23.0
DB3401,2.8,8.0
EG1865,3.4,20.0
EG2037,2.2,48.0
EE6818,,
CM6057,3.9,37.0
EG2035,4.8,9.0
EE5614,2.6,20.0
EF9225,3.3,60.0
EE5174,3.8,95.0
CM6058,0.0,8.0
EE5915,4.4,87.0
BY2949,3.6,63.0
EE5933,4.9,90.0
F34865,2.6,35.0
S80662,2.0,28.0
CM6059,4.6,17.0
CJ8016,4.2,33.0
CL7428,4.6,51.0
EE4843,2.4,2.0
CK9670,3.1,48.0
EE7740,4.8,38.0
EE8969,3.3,38.0
BZ0087,2.0,62.0
F36256,2.2,80.0
EE5362,3.9,83.0
F35762,2.4,92.0
EE5837,3.6,83.0
EE4576,0.0,52.0
EE6991,4.4,47.0
EE6012,4.7,5.0
EE4470,3.0,79.0
EE6327,4.0,75.0
AQ8530,3.3,71.0
CI9990,3.5,62.0
EE7064,3.1,28.0
F36417,5.0,96.0
EE4808,3.8,8.0
F36431,3.2,38.0
B44669,2.9,1.0
B43745,4.8,36.0
CJ8021,2.8,74.0
CM4549,4.6,37.0
EE8374,4.0,22.0
CL4154,2.0,26.0
CL7609,4.5,20.0
CK9456,5.0,89.0
EG4372,4.0,57.0
CJ8987,4.5,32.0
EG4303,3.5,32.0
BB7616,5.0,24.0
EE5603,2.4,85.0
EE8970,3.8,8.0
CJ8113,5.0,26.0
CL7463,4.9,77.0
F97210,4.4,2.0
B44732,3.4,86.0
F34411,,
EE6807,2.6,29.0
F35515,3.1,34.0
F35615,3.8,39.0
CK9466,2.8,16.0
F36650,3.3,18.0
BC1040,3.4,64.0
EF0810,3.4,53.0
CL9963,4.9,40.0
BB6917,4.3,81.0
CL9938,1.5,64.0
CL9997,4.8,91.0
CL7642,3.9,40.0
F35040,4.1,99.0
CJ8017,4.3,19.0
EE9727,3.5,4.0
CJ8012,0.0,59.0
CL7632,4.7,67.0
CL7486,2.7,91.0
BZ0631,2.0,30.0
D98056,3.7,86.0
CM4824,3.0,71.0
CM4825,4.6,9.0
B43753,4.7,64.0
FV4349,2.8,39.0
F36517,2.6,20.0
EE8131,2.0,11.0
EE9737,4.2,10.0
EF1060,4.9,23.0
EE9938,4.6,76.0
EE8353,2.5,8.0
