Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
48,Call of Duty: Modern Warfare 3,X360,Activision,Infinity Ward,8.7,,14.82,2011
49,Call of Duty: Black Ops,X360,Activision,Treyarch,8.8,,14.74,2010
50,Pokemon Yellow: Special Pikachu Edition,GB,Nintendo,Game Freak,8.7,8.8,14.64,1999
51,Halo 3,X360,Microsoft Game Studios,Bungie Studios,9.6,9.5,14.5,2007
52,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,Game Freak,8.3,7.4,14.27,2014
53,Terraria,PC,Unknown,Re-Logic,8.8,8.6,14,2011
54,Red Dead Redemption 2,PS4,Rockstar Games,Rockstar Games,9.8,7.9,13.94,2018
55,Call of Duty: Black Ops II,X360,Activision,Treyarch,9.3,,13.86,2012
56,Call of Duty: Black Ops II,PS3,Activision,Treyarch,9.3,,13.8,2012
57,Call of Duty: Modern Warfare 2,X360,Activision,Infinity Ward,9.5,9,13.53,2009
58,Animal Crossing: New Horizons,NS,Nintendo,Nintendo,9,5.4,13.41,2020
59,Call of Duty: WWII,PS4,Activision,Sledgehammer Games,8,4.3,13.4,2017
60,Call of Duty: Modern Warfare 3,PS3,Activision,Infinity Ward,8.8,,13.35,2011
61,New Super Mario Bros. 2,3DS,Nintendo,Nintendo,7.5,7.3,13.34,2012
62,Super Smash Bros. Brawl,Wii,Nintendo,Project Sora,9.2,9.7,13.32,2008
63,Marvel's Spider-Man,PS4,Sony Interactive Entertainment,Insomniac Games,9.1,8.7,13.2,2018
64,Grand Theft Auto III,PS2,Rockstar Games,DMA Design,9.5,,13.1,2001
65,Portal 2,PC,Valve,Valve Software,9.7,9,13.06,2011
66,Minecraft,X360,Microsoft Studios,Mojang,8.5,,13,2013
67,Super Mario Galaxy,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.8,2007
68,Pokemon Heart Gold / Soul Silver Version,DS,Nintendo,Game Freak,8.6,,12.72,2010
69,Super Mario 3D Land,3DS,Nintendo,Nintendo EAD Tokyo,8.9,8.4,12.7,2011
70,Call of Duty: Black Ops,PS3,Activision,Treyarch,8.7,,12.67,2010
71,Grand Theft Auto V,PC,Rockstar Games,Rockstar North,9.6,7.7,12.6,2015
72,Animal Crossing: New Leaf,3DS,Nintendo,Nintendo EAD,8.6,8.8,12.55,2013
73,The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,9.3,9.4,12.4,2015
74,Diablo III,PC,Blizzard Entertainment,Blizzard Entertainment,9,4.1,12,2012
75,Half-Life 2,PC,VU Games,Valve Software,9.7,,12,2004
76,Pokemon FireRed / LeafGreen Version,GBA,Nintendo,Game Freak,8.3,,12,2004
77,World of Warcraft,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,8,12,2004
78,"Pokemon: Let's Go, Pikachu/Eevee",NS,Nintendo,Game Freak,8,6.2,11.97,2018
79,Gran Turismo 5,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,11.95,2010
80,Super Mario 64,N64,Nintendo,Nintendo EAD,9.7,9,11.91,1996
81,FIFA 18,PS4,EA Sports,EA Vancouver,8.3,3.4,11.8,2017
82,The Last of Us Remastered,PS4,Sony Computer Entertainment,Naughty Dog,9.5,9.1,11.78,2014
83,Gran Turismo 4,PS2,Sony Computer Entertainment,Polyphony Digital,8.7,,11.76,2005
84,Animal Crossing: Wild World,DS,Nintendo,Nintendo EAD,8.5,,11.75,2005
85,Super Mario Land 2: 6 Golden Coins,GB,Nintendo,Nintendo R&D1,9,8.5,11.18,1992
86,Grand Theft Auto IV,X360,Rockstar Games,Rockstar North,10,,11.09,2008
87,Super Mario 64 DS,DS,Nintendo,Nintendo EAD,8.6,,11.06,2004
88,God of War (2018),PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,10,11,2018
89,StarCraft,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,,11,1998
90,FIFA 17,PS4,Electronic Arts,EA Canada,8.9,4.8,10.94,2016
91,Gran Turismo,PS,Sony Computer Entertainment,Polyphony Digital,9.5,,10.85,1998
92,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,9.2,9.2,10.8,2015
93,Call of Duty: Modern Warfare 2,PS3,Activision,Infinity Ward,9.5,,10.61,2009
94,Grand Theft Auto IV,PS3,Rockstar Games,Rockstar North,10,9,10.57,2008
95,Super Mario All-Stars,SNES,Nintendo,Nintendo EAD,9.2,9.5,10.55,1993
96,Call of Duty: Ghosts,X360,Activision,Infinity Ward,6.9,,10.41,2013
97,Just Dance 3,Wii,Ubisoft,Ubisoft Paris,7.5,,10.14,2011
98,Call of Duty: Ghosts,PS3,Activision,Infinity Ward,7.5,,10.13,2013
99,Splatoon 2,NS,Nintendo,Nintendo EPD,8.2,8.5,10.13,2017
100,Super Mario Party,NS,Nintendo,"Nd Cube Co., Ltd.",7.3,7.5,10.1,2018
101,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,9.1,8,10,2017
102,RollerCoaster Tycoon 3,PC,Atari,Frontier Developments,8.3,,10,2004
103,Halo: Reach,X360,Microsoft Game Studios,Bungie,9.3,,9.97,2010
104,Portal,PC,Valve Corporation,Valve Software,9,,9.97,2008
105,Halo 4,X360,Microsoft Studios,343 Industries,9.8,,9.96,2012
106,Final Fantasy VII,PS,Sony Computer Entertainment,SquareSoft,9.6,9.5,9.9,1997
107,Mario Kart 64,N64,Nintendo,Nintendo EAD,8.5,,9.87,1997
108,Super Smash Bros. for 3DS,3DS,Nintendo,Bandai Namco Games,8.4,,9.59,2014
109,Call of Duty 4: Modern Warfare,X360,Activision,Infinity Ward,9.6,9,9.41,2007
110,Gran Turismo 2,PS,Sony Computer Entertainment,Polyphony Digital,9.2,,9.37,1999
111,Wii Party,Wii,Nintendo,"Nd Cube Co., Ltd.",7,,9.34,2010
112,Call of Duty: Black Ops IIII,PS4,Activision,Treyarch,8.3,4,9.32,2018
113,Mario Party DS,DS,Nintendo,Hudson Soft,7.1,,9.31,2007
114,Donkey Kong Country,SNES,Nintendo,Rare Ltd.,9,8.8,9.3,1994
115,Half-Life,PC,Sierra Entertainment,Valve Software,9.5,,9.3,1998
116,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,9.3,2011
117,FIFA 19,PS4,Electronic Arts,EA Sports,8.3,1.7,9.15,2018
118,Rust,PC,Facepunch Studios,Facepunch Studios,6.1,6.2,9.02,2018
119,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Bethesda Game Studios,9.3,,8.88,2011
120,Mario Party 8,Wii,Nintendo,Hudson Soft,6.5,,8.85,2007
121,Pokemon: Ultra Sun and Ultra Moon,3DS,Nintendo,Game Freak,8.1,,8.77,2017
122,Super Mario Kart,SNES,Nintendo,Nintendo EAD,10,,8.76,1992
123,Grand Theft Auto V,XOne,Rockstar Games,Rockstar North,9,9,8.72,2014
124,Final Fantasy VIII,PS,Square EA,SquareSoft,9.4,,8.6,1999
125,Final Fantasy X,PS2,Square,SquareSoft,9,10,8.6,2001
126,Pokemon Black 2 and White 2,DS,Nintendo,Game Freak,8,8.3,8.52,2012
127,Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,7.7,3.8,8.48,2016
128,Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,6.6,8.48,2015
129,Mario Kart 8,WiiU,Nintendo,Nintendo,8.8,8.9,8.45,2014
130,Tekken 3,PS,Namco,Namco,9.6,,8.3,1998
131,FIFA 16,PS4,EA Sports,EA Canada,8.5,4.4,8.22,2015
132,The Last of Us,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,,8.15,2013
133,GoldenEye 007,N64,Nintendo,Rare Ltd.,9.8,,8.09,1997
134,Star Wars Battlefront (2015),PS4,Electronic Arts,EA DICE,7.1,,8.03,2015
135,FIFA 13,PS3,EA Sports,EA Canada,,,8.01,2012
136,NBA 2K20,PS4,2K Sports,Visual Concepts,7.8,1.2,8,2019
137,Halo 2,XB,Microsoft Game Studios,Bungie Studios,9.6,,8,2004
138,The Sims 3,PC,Electronic Arts,EA Redwood Shores,8.5,,7.96,2009
139,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games,Rockstar Leeds,8.8,,7.72,2005
140,Pac-Man,2600,Atari,Atari,9,7.4,7.7,1982
141,God of War III,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.2,9.4,7.6,2010
142,Pokemon Platinum Version,DS,Nintendo,Game Freak,8.3,8.9,7.6,2009
143,The Legend of Zelda: Ocarina of Time,N64,Nintendo,Nintendo EAD,9.9,10,7.6,1998
144,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,Naughty Dog,8.6,,7.58,1997
145,Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,8.5,5.7,7.53,2014
146,Call of Duty: World at War,X360,Activision,Treyarch,8.5,7.8,7.5,2008
147,Super Mario Bros. 2,NES,Nintendo,Nintendo EAD,8.5,8.1,7.46,1988
148,Super Mario Galaxy 2,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,2010
149,Super Smash Bros. Melee,GC,Nintendo,HAL Laboratory,9.2,,7.41,2001
150,Call of Duty: Black Ops 3,XOne,Activision,Treyarch,,,7.37,2015
151,Battlefield 3,X360,Electronic Arts,Dice,8.5,,7.35,2011
152,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Level 5,,,7.29,2016
153,The Legend of Zelda: Twilight Princess,Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,2006
154,Battlefield 1,PS4,Electronic Arts,EA DICE,9.1,7.9,7.26,2016
155,Battlefield 3,PS3,Electronic Arts,Dice,8.5,,7.21,2011
156,Need for Speed Underground,PS2,Electronic Arts,EA Black Box,8.6,,7.2,2003
157,The Binding of Isaac,PC,Edmund McMillen,Edmund McMillen,8.3,8.4,7.17,2011
158,FIFA 20,PS4,Electronic Arts,EA Sports,7.9,1.1,7.15,2019
159,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,Naughty Dog,9.3,,7.13,1998
160,Pokemon Emerald Version,GBA,Nintendo,Game Freak,7.7,,7.06,2005
161,Guild Wars 2,PC,NCSoft,ArenaNet,9,8.1,7,2012
162,Need for Speed Underground 2,PS2,Electronic Arts,EA Black Box,8.3,,6.9,2004
163,Just Dance 4,Wii,Ubisoft,Ubisoft,,,6.89,2012
164,Mario Kart: Double Dash!!,GC,Nintendo,Nintendo EAD,8.5,,6.88,2003
165,Medal of Honor: Frontline,PS2,Electronic Arts,EA Los Angeles,9,,6.83,2002
166,Crash Bandicoot,PS,Sony Computer Entertainment,Naughty Dog,7.8,,6.82,1996
167,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,Naughty Dog,9.5,9.6,6.74,2009
168,Call of Duty 4: Modern Warfare,PS3,Activision,Infinity Ward,9.5,9.6,6.72,2007
169,FIFA Soccer 12,PS3,EA Sports,EA Canada,9.2,,6.65,2011
170,FIFA 14,PS3,EA Sports,EA Canada,9,,6.61,2013
171,Fallout 4,PC,Bethesda Softworks,Bethesda Game Studios,9,5.5,6.6,2015
172,New Super Mario Bros. U Deluxe,NS,Nintendo,Nintendo EPD,8,6.6,6.6,2019
173,Tomodachi Life,3DS,Nintendo,Nintendo,7.8,7.6,6.59,2014
174,Red Dead Redemption,PS3,Rockstar Games,Rockstar San Diego,9.5,,6.57,2011
175,Donkey Kong Country Returns,Wii,Nintendo,Retro Studios,8.6,,6.53,2010
176,The Legend of Zelda,NES,Nintendo,Nintendo EAD,8.4,8.8,6.51,1987
177,Assassin's Creed III,PS3,Ubisoft,Ubisoft Montreal,8.8,,6.5,2012
178,Guild Wars,PC,NCSoft,ArenaNet,8.7,,6.5,2005
179,Red Dead Redemption,X360,Rockstar Games,Rockstar San Diego,9.5,10,6.5,2010
180,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,9,,6.49,2011
181,Final Fantasy XII,PS2,Square Enix,Square Enix,9.4,9.5,6.4,2006
182,Pokemon Crystal Version,GBC,Nintendo,Game Freak,8.7,,6.39,2001
183,Halo 3: ODST,X360,Microsoft Game Studios,Bungie,8.7,,6.35,2009
184,Minecraft,PS4,Sony Computer Entertainment,Mojang,9.4,,6.33,2014
185,Luigi's Mansion 3,NS,Nintendo,"Next Level Games, Inc.",8.6,8.5,6.33,2019
186,FIFA 15,PS4,EA Sports,EA Canada,8.1,5.7,6.32,2014
187,Kingdom Hearts,PS2,Square EA,SquareSoft,8.5,,6.3,2002
188,Myst,PC,Broderbund,Cyan Worlds,8.9,8,6.3,1995
189,Street Fighter II: The World Warrior,SNES,Capcom,Capcom,,,6.3,1992
190,Driver,PS,GT Interactive,Reflections Interactive,8.5,,6.27,1999
191,Call of Duty: WWII,XOne,Activision,Sledgehammer Games,8,4,6.23,2017
192,Luigi's Mansion: Dark Moon,3DS,Nintendo,Next Level Games,8.6,8.5,6.16,2013
193,Big Brain Academy,DS,Nintendo,Nintendo EAD,7.7,,6.15,2006
194,Minecraft,PS3,Sony Computer Entertainment America,Mojang,9.5,,6.05,2014
195,Metal Gear Solid 2: Sons of Liberty,PS2,Konami,Konami Computer Entertainment Japan,9.5,7,6.05,2001
196,The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,GREZZO,9.3,9,6.02,2011
197,Cities: Skylines,PC,Paradox Interactive,Colossal Order,8.5,8.9,6,2015
198,Metal Gear Solid,PS,Konami,Konami Computer Entertainment Japan,9.3,,6,1998
199,Sonic the Hedgehog 2,GEN,Sega,Sonic Team,,,6,1992
200,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami,Kojima Productions,9.3,9.8,6,2008
201,Euro Truck Simulator 2,PC,SCS Software,SCS Software,8.5,8.7,5.98,2013
202,Mario Kart: Super Circuit,GBA,Nintendo,Intelligent Systems,9.3,,5.91,2001
203,Super Mario Sunshine,GC,Nintendo,Nintendo EAD,9.2,,5.91,2002
204,Super Mario 3D World,WiiU,Nintendo,Nintendo EAD Tokyo,9.5,8.9,5.84,2013
205,Age of Empires II: HD Edition,PC,Microsoft Studios,Hidden Path Entertainment,6.8,7.9,5.82,2013
206,New Super Mario Bros. U,WiiU,Nintendo,Nintendo EAD,8.4,8,5.8,2012
207,Link's Crossbow Training,Wii,Nintendo,Nintendo EAD,6.9,,5.79,2007
208,Red Dead Redemption 2,XOne,Rockstar Games,Rockstar Games,9.7,7.4,5.77,2018
209,Destiny,PS4,Activision,Bungie,7.6,6.1,5.76,2014
210,Tekken 2,PS,Namco,Namco,9.1,,5.74,1996
211,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,8.6,8.5,5.7,2015
212,Super Mario World: Super Mario Advance 2,GBA,Nintendo,Nintendo EAD,9.4,,5.69,2002
213,LEGO Star Wars: The Complete Saga,Wii,LucasArts,Traveller's Tales,8,,5.66,2007
214,Cooking Mama,DS,Majesco,Office Create,6.6,,5.66,2006
215,Tetris,NES,Nintendo,Nintendo,,,5.58,1989
216,Super Mario Advance,GBA,Nintendo,Nintendo EAD,8.2,,5.57,2001
217,Assassin's Creed II,PS3,Ubisoft,Ubisoft Montreal,9,,5.57,2009
218,Super Smash Bros.,N64,Nintendo,HAL Laboratory,8.4,,5.55,1999
219,Assassin's Creed,X360,Ubisoft,Ubisoft Montreal,8.2,8,5.55,2007
220,Batman: Arkham City,PS3,Warner Bros. Interactive,Rocksteady Studios,9.6,,5.54,2011
221,Forza Motorsport 3,X360,Microsoft Game Studios,Turn 10 Studios,9.2,9.8,5.5,2009
222,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,Level 5,8.6,,5.5,2010
223,Final Fantasy IX,PS,Square,SquareSoft,9.2,,5.5,2000
224,Final Fantasy X-2,PS2,Square Enix,Square Enix,8.3,,5.5,2003
225,Sid Meier's Civilization VI,PC,2K Games,Firaxis Games,8.8,7,5.5,2016
226,Tomb Raider (2013),PC,Square Enix,Crystal Dynamics,8.8,,5.5,2013
227,Super Mario Maker 2,NS,Nintendo,Nintendo,8.8,8.5,5.48,2019
228,Pokemon Stadium,N64,Nintendo,HAL Laboratory,7.5,,5.46,2000
229,Minecraft,XOne,Microsoft Studios,Mojang,,,5.43,2014
230,Call of Duty: World at War,PS3,Activision,Treyarch,8.4,,5.43,2008
231,Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo,Nintendo EAD,9.2,,5.43,2003
232,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Traveller's Tales,6.9,,5.42,2001
233,Super Smash Bros. for Wii U,WiiU,Nintendo,Bandai Namco Games,9.2,8.9,5.37,2014
234,Final Fantasy XIII,PS3,Square Enix,Square Enix,8,9.2,5.35,2010
235,Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,5.35,2008
236,Dr. Mario,GB,Nintendo,Nintendo R&D1,,,5.34,1990
237,Assassin's Creed III,X360,Ubisoft,Ubisoft Montreal,8.5,,5.31,2012
238,Pokemon Pinball,GBC,Nintendo,Jupiter Corporation,8.7,,5.31,1999
239,Assassin's Creed II,X360,Ubisoft,Ubisoft Montreal,9.1,,5.3,2009
240,The Forest,PC,Endnight Games Ltd,Unknown,8.3,7.3,5.3,2014
241,Donkey Kong 64,N64,Nintendo,Rare Ltd.,9.3,,5.27,1999
242,Just Dance 2,Wii,Ubisoft,Ubisoft Paris,7.3,,5.25,2010
243,Tomb Raider II,PS,Eidos Interactive,Core Design Ltd.,7.6,,5.24,1997
244,Madden NFL 2004,PS2,EA Sports,EA Tiburon,9.5,,5.23,2003
245,Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,8.3,5.5,5.22,2014
246,Fallout: New Vegas,PC,Bethesda Softworks,Obsidian Entertainment,8.3,,5.22,2010
247,Gran Turismo 6,PS3,Sony Computer Entertainment America,Polyphony Digital,,,5.22,2013
248,Kingdom Hearts II,PS2,Square Enix,Square Enix,8.3,,5.2,2006
249,Nintendo Land,WiiU,Nintendo,Nintendo,7.8,7.9,5.2,2012
250,Super Mario Land 3: Wario Land,GB,Nintendo,Nintendo R&D1,7.9,,5.19,1994
251,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,9.3,,5.15,1995
252,Medal of Honor: Rising Sun,PS2,Electronic Arts,EA Los Angeles,5.9,,5.13,2003
253,Battlefield 1,XOne,Electronic Arts,EA DICE,9.3,7.6,5.13,2016
254,Kirby's Dream Land,GB,Nintendo,HAL Laboratory,,,5.13,1992
255,Microsoft Flight Simulator,PC,Microsoft,Microsoft,7,,5.12,1996
256,Guitar Hero II,PS2,RedOctane,Harmonix Music Systems,9.2,,5.12,2006
257,FIFA 13,X360,EA Sports,EA Canada,,,5.11,2012
258,Resident Evil 5,PS3,Capcom,Capcom,8.6,8.8,5.1,2009
259,Fable III,X360,Microsoft Game Studios,Lionhead Studios,7.8,,5.1,2010
260,Mario & Sonic at the Olympic Games,DS,Sega,Sega,7,,5.1,2008
261,Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,Rockstar Leeds,8.4,,5.08,2006
262,FIFA Soccer 11,PS3,EA Sports,EA Canada,8.7,,5.08,2010
263,Super Mario Bros. Deluxe,GB,Nintendo,Nintendo EAD,9.7,,5.07,1999
264,Final Fantasy XV,PS4,Square Enix,Square Enix,8.1,9.5,5.07,2016
265,Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,6.4,5.03,2015
266,Tony Hawk's Pro Skater,PS,Activision,Neversoft Entertainment,9.6,,5.02,1999
267,Warzone 2100,PS,Eidos Interactive,Pumpkin Studios,7.5,,5.01,1999
268,Spyro the Dragon,PS,Sony Computer Entertainment,Insomniac Games,8.7,,5,1998
269,Gears of War,X360,Microsoft Game Studios,Epic Games,9.4,9.4,5,2006
270,Gears of War 2,X360,Microsoft Game Studios,Epic Games,9.4,9.5,5,2008
271,Halo 5: Guardians,XOne,Microsoft Studios,343 Industries,8.6,6.4,5,2015
272,Halo: Combat Evolved,XB,Microsoft,Bungie Studios,9.5,,5,2001
273,Guitar Hero III: Legends of Rock,PS2,RedOctane,BudCat Creations,8.2,,4.98,2007
274,Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Naughty Dog,8.7,8.6,4.97,2007
275,Resident Evil 2,PS,Capcom,Capcom,9.3,,4.96,1998
276,Fallout 3,X360,Bethesda Softworks,Bethesda Game Studios,9,8.6,4.96,2008
277,Splatoon,WiiU,Nintendo,Nintendo EAD,8.4,8.7,4.95,2015
278,Madden NFL 06,PS2,EA Sports,EA Tiburon,9.1,,4.91,2005
279,Stardew Valley,PC,Chucklefish,ConcernedApe,9.2,8.7,4.91,2016
280,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Level 5 / Armor Project,8.6,,4.9,2005
281,Monster Hunter Freedom 3,PSP,Capcom,Capcom,,,4.9,2010
282,Diddy Kong Racing,N64,Nintendo,Rare Ltd.,8.3,,4.88,1997
283,Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,ChunSoft,6.4,,4.88,2008
284,Call of Duty: Black Ops IIII,XOne,Activision,Treyarch,,,4.85,2018
285,Dr. Mario,NES,Nintendo,Nintendo R&D1,,,4.85,1990
286,Crash Bandicoot N. Sane Trilogy,PS4,Activision,Vicarious Visions,8,8.5,4.83,2017
287,Assassin's Creed,PS3,Ubisoft,Ubisoft Montreal,8.2,8.5,4.83,2007
288,Call of Duty: Infinite Warfare,XOne,Activision,Infinity Ward,7.8,3.6,4.79,2016
289,Crash Team Racing,PS,Sony Computer Entertainment,Naughty Dog,9.2,,4.79,1999
290,LEGO Star Wars: The Complete Saga,DS,LucasArts,Traveller's Tales,7.8,,4.77,2007
291,The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo EAD,9.1,,4.76,2007
292,Batman: Arkham City,X360,Warner Bros. Interactive,Rocksteady Studios,9.5,,4.75,2011
293,Driver 2,PS,Atari,Reflections Interactive,7,,4.73,2000
294,The Simpsons: Hit & Run,PS2,VU Games,Radical Entertainment,7.7,,4.7,2003
295,World of Warcraft: Cataclysm,PC,Blizzard Entertainment,Blizzard Entertainment,9,,4.7,2010
296,Tony Hawk's Pro Skater 2,PS,Activision,Neversoft Entertainment,9.3,,4.68,2000
297,Gran Turismo,PSP,Sony Computer Entertainment,Polyphony Digital,7.7,9.5,4.67,2009
298,The Lord of the Rings: The Two Towers,PS2,Electronic Arts,Stormfront Studios,8.3,,4.67,2002
299,Tomb Raider,PS,Eidos Interactive,Core Design Ltd.,8.9,,4.63,1996
300,God of War,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,,4.62,2005
301,The Legend of Zelda: A Link to the Past,SNES,Nintendo,Nintendo EAD,10,,4.61,1992
302,Left 4 Dead,PC,Valve Corporation,Valve Software,8.6,8.5,4.6,2008
303,Forza Motorsport 4,X360,Microsoft Studios,Turn 10 Studio,9.1,,4.6,2011
304,Guitar Hero III: Legends of Rock,Wii,RedOctane,Vicarious Visions,8.6,,4.6,2007
305,Nintendogs + cats,3DS,Nintendo,Nintendo EAD,7.2,,4.59,2011
306,"Pokemon: Let's Go, Pikachu!",NS,Nintendo,Game Freak,8.3,6.1,4.57,2018
