Name,Platform,Publisher,Developer,Total_Shipped,Year
Cooking Mama for DS,DS,Majesco,Office Create,5.66,2006
Counter-Strike for PC,PC,Sierra Studios,Unknown,4.2,2000
Counter-Strike: Global Offensive for PC,PC,Valve,Valve Corporation,40.0,2012
Counter-Strike: Source for PC,PC,VU Games,Valve Software,15.0,2004
Crash Bandicoot 2: Cortex Strikes Back for PS,PS,Sony Computer Entertainment,Naughty Dog,7.58,1997
Crash Bandicoot 3: Warped for PS,PS,Sony Computer Entertainment,Naughty Dog,7.13,1998
Crash Bandicoot N. Sane Trilogy for PS4,PS4,Activision,Vicarious Visions,4.83,2017
Crash Bandicoot for PS,PS,Sony Computer Entertainment,Naughty Dog,6.82,1996
Crash Bandicoot: The Wrath of Cortex for PS2,PS2,Universal Interactive,Traveller's Tales,5.42,2001
Crash Team Racing for PS,PS,Sony Computer Entertainment,Naughty Dog,4.79,1999
Daxter for PSP,PSP,Sony Computer Entertainment,Ready at Dawn,4.23,2006
Dead Island for PC,PC,Deep Silver,Techland,4.52,2011
Destiny 2 for PS4,PS4,Activision,Bungie,4.14,2017
Destiny for PS4,PS4,Activision,Bungie,5.76,2014
Diablo II for PC,PC,Blizzard Entertainment,Blizzard North,4.0,2000
Diablo III for PC,PC,Blizzard Entertainment,Blizzard Entertainment,12.0,2012
Diddy Kong Racing for N64,N64,Nintendo,Rare Ltd.,4.88,1997
Disney's Aladdin for GEN,GEN,Sega,Virgin Interactive,4.0,1993
Donkey Kong 64 for N64,N64,Nintendo,Rare Ltd.,5.27,1999
Donkey Kong Country 2: Diddy's Kong Quest for SNES,SNES,Nintendo,Rare Ltd.,5.15,1995
Donkey Kong Country Returns for Wii,Wii,Nintendo,Retro Studios,6.53,2010
Donkey Kong Country for SNES,SNES,Nintendo,Rare Ltd.,9.3,1994
Dr. Mario for GB,GB,Nintendo,Nintendo R&D1,5.34,1990
Dr. Mario for NES,NES,Nintendo,Nintendo R&D1,4.85,1990
Dragon Quest IX: Sentinels of the Starry Skies for DS,DS,Nintendo,Level 5,5.5,2010
Dragon Quest VII for PS,PS,Enix,Heart Beat,4.3,2001
Dragon Quest VIII: Journey of the Cursed King for PS2,PS2,Square Enix,Level 5 / Armor Project,4.9,2005
Driver 2 for PS,PS,Atari,Reflections Interactive,4.73,2000
Driver for PS,PS,GT Interactive,Reflections Interactive,6.27,1999
Duck Hunt for NES,NES,Nintendo,Nintendo R&D1,28.31,1985
Euro Truck Simulator 2 for PC,PC,SCS Software,SCS Software,5.98,2013
Excitebike for NES,NES,Nintendo,Nintendo R&D1,4.16,1985
EyeToy Play for PS2,PS2,Sony Computer Entertainment,SCEE London Studio,4.0,2003
FIFA 07 Soccer for PS2,PS2,EA Sports,Team Fusion,4.11,2006
FIFA 13 for PS3,PS3,EA Sports,EA Canada,8.01,2012
FIFA 13 for X360,X360,EA Sports,EA Canada,5.11,2012
FIFA 14 for PS3,PS3,EA Sports,EA Canada,6.61,2013
FIFA 14 for X360,X360,EA Sports,EA Canada,4.15,2013
FIFA 15 for PS3,PS3,EA Sports,EA Canada,4.56,2014
FIFA 15 for PS4,PS4,EA Sports,EA Canada,6.32,2014
FIFA 16 for PS4,PS4,EA Sports,EA Canada,8.22,2015
FIFA 17 for PS4,PS4,Electronic Arts,EA Canada,10.94,2016
FIFA 18 for PS4,PS4,EA Sports,EA Vancouver,11.8,2017
FIFA 19 for PS4,PS4,Electronic Arts,EA Sports,9.15,2018
FIFA 20 for PS4,PS4,Electronic Arts,EA Sports,7.15,2019
FIFA Soccer 06 for PS2,PS2,EA Sports,EA Canada,4.21,2005
FIFA Soccer 11 for PS3,PS3,EA Sports,EA Canada,5.08,2010
FIFA Soccer 12 for PS3,PS3,EA Sports,EA Canada,6.65,2011
FIFA Soccer 12 for X360,X360,EA Sports,EA Canada,4.18,2011
Fable III for X360,X360,Microsoft Game Studios,Lionhead Studios,5.1,2010
Fallout 3 for PS3,PS3,Bethesda Softworks,Bethesda Game Studios,4.0,2008
Fallout 3 for X360,X360,Bethesda Softworks,Bethesda Game Studios,4.96,2008
Fallout 4 for PC,PC,Bethesda Softworks,Bethesda Game Studios,6.6,2015
Fallout 4 for PS4,PS4,Bethesda Softworks,Bethesda Game Studios,8.48,2015
Fallout 4 for XOne,XOne,Bethesda Softworks,Bethesda Game Studios,5.03,2015
Fallout: New Vegas for PC,PC,Bethesda Softworks,Obsidian Entertainment,5.22,2010
Fallout: New Vegas for X360,X360,Bethesda Softworks,Obsidian Entertainment,4.08,2010
Far Cry 4 for PS4,PS4,Ubisoft,Ubisoft Montreal,4.06,2014
Final Fantasy IX for PS,PS,Square,SquareSoft,5.5,2000
Final Fantasy VII for PS,PS,Sony Computer Entertainment,SquareSoft,9.9,1997
Final Fantasy VIII for PS,PS,Square EA,SquareSoft,8.6,1999
Final Fantasy X for PS2,PS2,Square,SquareSoft,8.6,2001
Final Fantasy X-2 for PS2,PS2,Square Enix,Square Enix,5.5,2003
Final Fantasy XII for PS2,PS2,Square Enix,Square Enix,6.4,2006
Final Fantasy XIII for PS3,PS3,Square Enix,Square Enix,5.35,2010
Final Fantasy XV for PS4,PS4,Square Enix,Square Enix,5.07,2016
Forza Motorsport 2 for X360,X360,Microsoft Game Studios,Turn 10 Studios,4.05,2007
Forza Motorsport 3 for X360,X360,Microsoft Game Studios,Turn 10 Studios,5.5,2009
Forza Motorsport 4 for X360,X360,Microsoft Studios,Turn 10 Studio,4.6,2011
Frogger for PS,PS,Hasbro Interactive,Millenium Interactive,4.16,1997
Garry's Mod for PC,PC,Valve,Facepunch Studios,16.9,2006
Gears of War 2 for X360,X360,Microsoft Game Studios,Epic Games,5.0,2008
Gears of War for X360,X360,Microsoft Game Studios,Epic Games,5.0,2006
God of War (2018) for PS4,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,11.0,2018
God of War II for PS2,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4.24,2007
God of War III for PS3,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,7.6,2010
God of War for PS2,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,4.62,2005
GoldenEye 007 for N64,N64,Nintendo,Rare Ltd.,8.09,1997
Golf for NES,NES,Nintendo,Nintendo,4.01,1985
Gran Turismo 2 for PS,PS,Sony Computer Entertainment,Polyphony Digital,9.37,1999
Gran Turismo 3: A-Spec for PS2,PS2,Sony Computer Entertainment,Polyphony Digital,14.89,2001
Gran Turismo 4 for PS2,PS2,Sony Computer Entertainment,Polyphony Digital,11.76,2005
Gran Turismo 5 Prologue for PS3,PS3,Sony Computer Entertainment,Polyphony Digital,5.35,2008
Gran Turismo 5 for PS3,PS3,Sony Computer Entertainment,Polyphony Digital,11.95,2010
Gran Turismo 6 for PS3,PS3,Sony Computer Entertainment America,Polyphony Digital,5.22,2013
Gran Turismo for PS,PS,Sony Computer Entertainment,Polyphony Digital,10.85,1998
Gran Turismo for PSP,PSP,Sony Computer Entertainment,Polyphony Digital,4.67,2009
Grand Theft Auto III for PS2,PS2,Rockstar Games,DMA Design,13.1,2001
Grand Theft Auto IV for PS3,PS3,Rockstar Games,Rockstar North,10.57,2008
Grand Theft Auto IV for X360,X360,Rockstar Games,Rockstar North,11.09,2008
Grand Theft Auto V for PC,PC,Rockstar Games,Rockstar North,12.6,2015
Grand Theft Auto V for PS3,PS3,Rockstar Games,Rockstar North,20.32,2013
Grand Theft Auto V for PS4,PS4,Rockstar Games,Rockstar North,19.39,2014
Grand Theft Auto V for X360,X360,Rockstar Games,Rockstar North,15.86,2013
Grand Theft Auto V for XOne,XOne,Rockstar Games,Rockstar North,8.72,2014
Grand Theft Auto: Liberty City Stories for PSP,PSP,Rockstar Games,Rockstar Leeds,7.72,2005
Grand Theft Auto: San Andreas for PS2,PS2,Rockstar Games,Rockstar North,17.3,2004
Grand Theft Auto: Vice City Stories for PSP,PSP,Rockstar Games,Rockstar Leeds,5.08,2006
Grand Theft Auto: Vice City for PS2,PS2,Rockstar Games,Rockstar North,16.15,2002
Guild Wars 2 for PC,PC,NCSoft,ArenaNet,7.0,2012
Guild Wars for PC,PC,NCSoft,ArenaNet,6.5,2005
Guitar Hero II for PS2,PS2,RedOctane,Harmonix Music Systems,5.12,2006
Guitar Hero III: Legends of Rock for PS2,PS2,RedOctane,BudCat Creations,4.98,2007
Guitar Hero III: Legends of Rock for Wii,Wii,RedOctane,Vicarious Visions,4.6,2007
Guitar Hero III: Legends of Rock for X360,X360,RedOctane,Neversoft,4.53,2007
Half-Life 2 for PC,PC,VU Games,Valve Software,12.0,2004
Half-Life for PC,PC,Sierra Entertainment,Valve Software,9.3,1998
Halo 2 for XB,XB,Microsoft Game Studios,Bungie Studios,8.0,2004
Halo 3 for X360,X360,Microsoft Game Studios,Bungie Studios,14.5,2007
Halo 3: ODST for X360,X360,Microsoft Game Studios,Bungie,6.35,2009
Halo 4 for X360,X360,Microsoft Studios,343 Industries,9.96,2012
Halo 5: Guardians for XOne,XOne,Microsoft Studios,343 Industries,5.0,2015
Halo: Combat Evolved for XB,XB,Microsoft,Bungie Studios,5.0,2001
Halo: Reach for X360,X360,Microsoft Game Studios,Bungie,9.97,2010
Horizon: Zero Dawn for PS4,PS4,Sony Interactive Entertainment,Guerrilla Games,10.0,2017
Just Cause 2 for PC,PC,Eidos Interactive,Avalanche Studios,4.16,2010
Just Dance 2 for Wii,Wii,Ubisoft,Ubisoft Paris,5.25,2010
Just Dance 3 for Wii,Wii,Ubisoft,Ubisoft Paris,10.14,2011
Just Dance 4 for Wii,Wii,Ubisoft,Ubisoft,6.89,2012
Just Dance for Wii,Wii,Ubisoft,Ubisoft Paris,4.0,2009
Kinect Adventures! for X360,X360,Microsoft Game Studios,Good Science Studio,24.0,2010
Kingdom Hearts II for PS2,PS2,Square Enix,Square Enix,5.2,2006
Kingdom Hearts for PS2,PS2,Square EA,SquareSoft,6.3,2002
Kirby's Dream Land for GB,GB,Nintendo,HAL Laboratory,5.13,1992
LEGO Star Wars: The Complete Saga for DS,DS,LucasArts,Traveller's Tales,4.77,2007
LEGO Star Wars: The Complete Saga for Wii,Wii,LucasArts,Traveller's Tales,5.66,2007
Left 4 Dead for PC,PC,Valve Corporation,Valve Software,4.6,2008
Link's Crossbow Training for Wii,Wii,Nintendo,Nintendo EAD,5.79,2007
LittleBigPlanet for PS3,PS3,Sony Computer Entertainment,Media Molecule,4.5,2008
Luigi's Mansion 3 for NS,NS,Nintendo,"Next Level Games, Inc.",6.33,2019
Luigi's Mansion: Dark Moon for 3DS,3DS,Nintendo,Next Level Games,6.16,2013
Madden NFL 06 for PS2,PS2,EA Sports,EA Tiburon,4.91,2005
Madden NFL 07 for PS2,PS2,EA Sports,EA Tiburon,4.49,2006
Madden NFL 2003 for PS2,PS2,EA Sports,EA Tiburon,4.14,2002
Madden NFL 2004 for PS2,PS2,EA Sports,EA Tiburon,5.23,2003
Madden NFL 2005 for PS2,PS2,EA Sports,EA Tiburon,4.53,2004
Mario & Luigi: Bowser's Inside Story for DS,DS,Nintendo,AlphaDream Corporation,4.56,2009
Mario & Sonic at the Olympic Games for DS,DS,Sega,Sega,5.1,2008
Mario & Sonic at the Olympic Winter Games for Wii,Wii,Sega,Sega,4.54,2009
Mario Kart 64 for N64,N64,Nintendo,Nintendo EAD,9.87,1997
Mario Kart 7 for 3DS,3DS,Nintendo,Nintendo EAD / Retro Studios,18.71,2011
Mario Kart 8 Deluxe for NS,NS,Nintendo,Nintendo EPD,24.77,2017
Mario Kart 8 for WiiU,WiiU,Nintendo,Nintendo,8.45,2014
Mario Kart DS for DS,DS,Nintendo,Nintendo EAD,23.6,2005
Mario Kart Wii for Wii,Wii,Nintendo,Nintendo EAD,37.32,2008
Mario Kart: Double Dash!! for GC,GC,Nintendo,Nintendo EAD,6.88,2003
Mario Kart: Super Circuit for GBA,GBA,Nintendo,Intelligent Systems,5.91,2001
Mario Party 8 for Wii,Wii,Nintendo,Hudson Soft,8.85,2007
Mario Party DS for DS,DS,Nintendo,Hudson Soft,9.31,2007
Marvel's Spider-Man for PS4,PS4,Sony Interactive Entertainment,Insomniac Games,13.2,2018
Medal of Honor: Frontline for PS2,PS2,Electronic Arts,EA Los Angeles,6.83,2002
Medal of Honor: Rising Sun for PS2,PS2,Electronic Arts,EA Los Angeles,5.13,2003
Metal Gear Solid 2: Sons of Liberty for PS2,PS2,Konami,Konami Computer Entertainment Japan,6.05,2001
Metal Gear Solid 3: Snake Eater for PS2,PS2,Konami,KCEJ / Kojima Productions,4.23,2004
Metal Gear Solid 4: Guns of the Patriots for PS3,PS3,Konami,Kojima Productions,6.0,2008
Metal Gear Solid for PS,PS,Konami,Konami Computer Entertainment Japan,6.0,1998
Michael Jackson: The Experience for Wii,Wii,Ubisoft,Ubisoft Montpellier,4.37,2010
Microsoft Flight Simulator for PC,PC,Microsoft,Microsoft,5.12,1996
Minecraft for PC,PC,Mojang,Mojang AB,33.15,2010
Minecraft for PS3,PS3,Sony Computer Entertainment America,Mojang,6.05,2014
Minecraft for PS4,PS4,Sony Computer Entertainment,Mojang,6.33,2014
Minecraft for X360,X360,Microsoft Studios,Mojang,13.0,2013
Minecraft for XOne,XOne,Microsoft Studios,Mojang,5.43,2014
Monster Hunter 4 Ultimate for 3DS,3DS,Capcom,Capcom,4.2,2015
Monster Hunter 4 for 3DS,3DS,Capcom,Capcom,4.1,2013
Monster Hunter Freedom 3 for PSP,PSP,Capcom,Capcom,4.9,2010
Monster Hunter Generations for 3DS,3DS,Capcom,Capcom,4.3,2016
Monster Hunter: World for PS4,PS4,Capcom,Capcom,4.0,2018
Mortal Kombat 11 for PS4,PS4,NetherRealm Studios,Warner Bros. Interactive Entertainment,4.2,2019
Myst for PC,PC,Broderbund,Cyan Worlds,6.3,1995
NBA 2K20 for PS4,PS4,2K Sports,Visual Concepts,8.0,2019
Namco Museum Vol.3 for PS,PS,Namco,Namco,4.05,1997
Namco Museum for GBA,GBA,Namco,Mass Media,4.24,2001
Namco Museum: 50th Anniversary for PS2,PS2,Namco,Digital Eclipse,3.98,2005
Need for Speed Underground 2 for PS2,PS2,Electronic Arts,EA Black Box,6.9,2004
Need for Speed Underground for PS2,PS2,Electronic Arts,EA Black Box,7.2,2003
Need for Speed: Most Wanted for PS2,PS2,Electronic Arts,EA Canada,4.37,2005
New Super Mario Bros. 2 for 3DS,3DS,Nintendo,Nintendo,13.34,2012
New Super Mario Bros. U Deluxe for NS,NS,Nintendo,Nintendo EPD,6.6,2019
New Super Mario Bros. U for WiiU,WiiU,Nintendo,Nintendo EAD,5.8,2012
New Super Mario Bros. Wii for Wii,Wii,Nintendo,Nintendo EAD,30.3,2009
New Super Mario Bros. for DS,DS,Nintendo,Nintendo EAD,30.8,2006
Nintendo Land for WiiU,WiiU,Nintendo,Nintendo,5.2,2012
Nintendogs + cats for 3DS,3DS,Nintendo,Nintendo EAD,4.59,2011
Nintendogs for DS,DS,Nintendo,Nintendo EAD,23.96,2005
Overwatch for PS4,PS4,Blizzard Entertainment,Blizzard Entertainment,4.54,2016
PLAYERUNKNOWN'S BATTLEGROUNDS for PC,PC,PUBG Corporation,PUBG Corporation,36.6,2017
Pac-Man for 2600,2600,Atari,Atari,7.7,1982
Pitfall! for 2600,2600,Activision,Activision,4.5,1982
Pokemon Black / White Version for DS,DS,Nintendo,Game Freak,15.64,2011
Pokemon Black 2 and White 2 for DS,DS,Nintendo,Game Freak,8.52,2012
Pokemon Crystal Version for GBC,GBC,Nintendo,Game Freak,6.39,2001
Pokemon Diamond / Pearl Version for DS,DS,Nintendo,Game Freak,17.67,2007
Pokemon Emerald Version for GBA,GBA,Nintendo,Game Freak,7.06,2005
Pokemon FireRed / LeafGreen Version for GBA,GBA,Nintendo,Game Freak,12.0,2004
Pokemon Gold / Silver Version for GB,GB,Nintendo,Game Freak,23.1,2000
Pokemon Heart Gold / Soul Silver Version for DS,DS,Nintendo,Game Freak,12.72,2010
Pokemon Mystery Dungeon: Explorers of Time / Darkness for DS,DS,Nintendo,ChunSoft,4.88,2008
Pokemon Omega Ruby/Pokemon Alpha Sapphire for 3DS,3DS,Nintendo,Game Freak,14.27,2014
Pokemon Pinball for GBC,GBC,Nintendo,Jupiter Corporation,5.31,1999
Pokemon Platinum Version for DS,DS,Nintendo,Game Freak,7.6,2009
Pokemon Red / Green / Blue Version for GB,GB,Nintendo,Game Freak,31.38,1998
Pokemon Ruby / Sapphire Version for GBA,GBA,Nintendo,Game Freak,16.22,2003
Pokemon Stadium for N64,N64,Nintendo,HAL Laboratory,5.46,2000
Pokemon Sun/Moon for 3DS,3DS,Nintendo,Game Freak,16.18,2016
Pokemon Sword / Shield for NS,NS,Nintendo,Game Freak,17.37,2019
Pokemon X/Y for 3DS,3DS,Nintendo,Game Freak,16.45,2013
Pokemon Yellow: Special Pikachu Edition for GB,GB,Nintendo,Game Freak,14.64,1999
"Pokemon: Let's Go, Pikachu! for NS",NS,Nintendo,Game Freak,4.57,2018
"Pokemon: Let's Go, Pikachu/Eevee for NS",NS,Nintendo,Game Freak,11.97,2018
Pokemon: Ultra Sun and Ultra Moon for 3DS,3DS,Nintendo,Game Freak,8.77,2017
Portal 2 for PC,PC,Valve,Valve Software,13.06,2011
Portal for PC,PC,Valve Corporation,Valve Software,9.97,2008
Professor Layton and the Curious Village for DS,DS,Nintendo,Level 5,4.49,2008
Red Dead Redemption 2 for PS4,PS4,Rockstar Games,Rockstar Games,13.94,2018
Red Dead Redemption 2 for XOne,XOne,Rockstar Games,Rockstar Games,5.77,2018
Red Dead Redemption for PS3,PS3,Rockstar Games,Rockstar San Diego,6.57,2011
Red Dead Redemption for X360,X360,Rockstar Games,Rockstar San Diego,6.5,2010
Resident Evil 2 for PS,PS,Capcom,Capcom,4.96,1998
Resident Evil 5 for PS3,PS3,Capcom,Capcom,5.1,2009
Resistance: Fall of Man for PS3,PS3,Sony Computer Entertainment,Insomniac Games,4.37,2006
Riven: The Sequel to Myst for PC,PC,Red Orb,Cyan Worlds,4.5,1997
RollerCoaster Tycoon 3 for PC,PC,Atari,Frontier Developments,10.0,2004
Rust for PC,PC,Facepunch Studios,Facepunch Studios,9.02,2018
Sid Meier's Civilization VI for PC,PC,2K Games,Firaxis Games,5.5,2016
Sonic the Hedgehog 2 for GEN,GEN,Sega,Sonic Team,6.0,1992
Sonic the Hedgehog for GEN,GEN,Sega,Sonic Team,15.0,1991
Spider-Man: The Movie for PS2,PS2,Activision,Treyarch,4.48,2002
Splatoon 2 for NS,NS,Nintendo,Nintendo EPD,10.13,2017
Splatoon for WiiU,WiiU,Nintendo,Nintendo EAD,4.95,2015
Spyro the Dragon for PS,PS,Sony Computer Entertainment,Insomniac Games,5.0,1998
Star Fox 64 for N64,N64,Nintendo,Nintendo EAD,4.0,1997
Star Wars Battlefront (2015) for PS4,PS4,Electronic Arts,EA DICE,8.03,2015
Star Wars Battlefront (2015) for XOne,XOne,Electronic Arts,EA DICE,4.15,2015
Star Wars Battlefront II (2017) for PS4,PS4,Electronic Arts,EA DICE,4.53,2017
StarCraft II: Wings of Liberty for PC,PC,Blizzard Entertainment,Blizzard Entertainment,4.5,2010
StarCraft for PC,PC,Blizzard Entertainment,Blizzard Entertainment,11.0,1998
Starbound for PC,PC,"Infocom, Inc.",Unknown,4.31,2014
Stardew Valley for PC,PC,Chucklefish,ConcernedApe,4.91,2016
Street Fighter II Turbo for SNES,SNES,Capcom,Capcom,4.1,1993
Street Fighter II: The World Warrior for SNES,SNES,Capcom,Capcom,6.3,1992
Street Fighter IV for PS3,PS3,Capcom,Capcom / Dimps Corporation,4.19,2009
Super Mario 3D Land for 3DS,3DS,Nintendo,Nintendo EAD Tokyo,12.7,2011
Super Mario 3D World for WiiU,WiiU,Nintendo,Nintendo EAD Tokyo,5.84,2013
Super Mario 64 DS for DS,DS,Nintendo,Nintendo EAD,11.06,2004
Super Mario 64 for N64,N64,Nintendo,Nintendo EAD,11.91,1996
Super Mario Advance 4: Super Mario Bros. 3 for GBA,GBA,Nintendo,Nintendo EAD,5.43,2003
Super Mario Advance for GBA,GBA,Nintendo,Nintendo EAD,5.57,2001
Super Mario All-Stars for SNES,SNES,Nintendo,Nintendo EAD,10.55,1993
Super Mario Bros. 2 for NES,NES,Nintendo,Nintendo EAD,7.46,1988
Super Mario Bros. 3 for NES,NES,Nintendo,Nintendo R&D2,17.28,1990
Super Mario Bros. Deluxe for GB,GB,Nintendo,Nintendo EAD,5.07,1999
Super Mario Bros. for NES,NES,Nintendo,Nintendo EAD,40.24,1985
Super Mario Galaxy 2 for Wii,Wii,Nintendo,Nintendo EAD Tokyo,7.41,2010
Super Mario Galaxy for Wii,Wii,Nintendo,Nintendo EAD Tokyo,12.8,2007
Super Mario Kart for SNES,SNES,Nintendo,Nintendo EAD,8.76,1992
Super Mario Land 2: 6 Golden Coins for GB,GB,Nintendo,Nintendo R&D1,11.18,1992
Super Mario Land 3: Wario Land for GB,GB,Nintendo,Nintendo R&D1,5.19,1994
Super Mario Land for GB,GB,Nintendo,Nintendo R&D1,18.14,1989
Super Mario Maker 2 for NS,NS,Nintendo,Nintendo,5.48,2019
Super Mario Maker for WiiU,WiiU,Nintendo,Nintendo EAD,4.01,2015
Super Mario Odyssey for NS,NS,Nintendo,Nintendo EPD,17.41,2017
Super Mario Party for NS,NS,Nintendo,"Nd Cube Co., Ltd.",10.1,2018
Super Mario Sunshine for GC,GC,Nintendo,Nintendo EAD,5.91,2002
Super Mario World 2: Yoshi's Island for SNES,SNES,Nintendo,Nintendo EAD,4.12,1995
Super Mario World for SNES,SNES,Nintendo,Nintendo EAD,20.61,1991
Super Mario World: Super Mario Advance 2 for GBA,GBA,Nintendo,Nintendo EAD,5.69,2002
Super Paper Mario for Wii,Wii,Nintendo,Intelligent Systems,4.23,2007
Super Smash Bros. Brawl for Wii,Wii,Nintendo,Project Sora,13.32,2008
Super Smash Bros. Melee for GC,GC,Nintendo,HAL Laboratory,7.41,2001
Super Smash Bros. Ultimate for NS,NS,Nintendo,Bandai Namco Games,18.84,2018
Super Smash Bros. for 3DS for 3DS,3DS,Nintendo,Bandai Namco Games,9.59,2014
Super Smash Bros. for N64,N64,Nintendo,HAL Laboratory,5.55,1999
Super Smash Bros. for Wii U for WiiU,WiiU,Nintendo,Bandai Namco Games,5.37,2014
Teenage Mutant Ninja Turtles for NES,NES,Ultra Games,Konami,4.17,1989
Tekken 2 for PS,PS,Namco,Namco,5.74,1996
Tekken 3 for PS,PS,Namco,Namco,8.3,1998
Tekken Tag Tournament for PS2,PS2,Namco,Namco,4.05,2000
