Name,Critic_Score,User_Score
Star Wars Battlefront (2015) for PS4,7.1,
Halo 2 for XB,9.6,
NBA 2K20 for PS4,7.8,1.2
The Sims 3 for PC,8.5,
Grand Theft Auto: Liberty City Stories for PSP,8.8,
Pac-Man for 2600,9.0,7.4
Pokemon Platinum Version for DS,8.3,8.9
The Legend of Zelda: Ocarina of Time for N64,9.9,10.0
God of War III for PS3,9.2,9.4
Crash Bandicoot 2: Cortex Strikes Back for PS,8.6,
Call of Duty: Advanced Warfare for PS4,8.5,5.7
Call of Duty: World at War for X360,8.5,7.8
Super Mario Bros. 2 for NES,8.5,8.1
Super Mario Galaxy 2 for Wii,9.7,9.8
Super Smash Bros. Melee for GC,9.2,
Battlefield 3 for X360,8.5,
The Legend of Zelda: Twilight Princess for Wii,9.5,9.6
Battlefield 1 for PS4,9.1,7.9
Battlefield 3 for PS3,8.5,
Need for Speed Underground for PS2,8.6,
The Binding of Isaac for PC,8.3,8.4
FIFA 20 for PS4,7.9,1.1
Crash Bandicoot 3: Warped for PS,9.3,
Pokemon Emerald Version for GBA,7.7,
Guild Wars 2 for PC,9.0,8.1
Need for Speed Underground 2 for PS2,8.3,
Mario Kart: Double Dash!! for GC,8.5,
Medal of Honor: Frontline for PS2,9.0,
Crash Bandicoot for PS,7.8,
Uncharted 2: Among Thieves for PS3,9.5,9.6
Call of Duty 4: Modern Warfare for PS3,9.5,9.6
FIFA Soccer 12 for PS3,9.2,
FIFA 14 for PS3,9.0,
New Super Mario Bros. U Deluxe for NS,8.0,6.6
Fallout 4 for PC,9.0,5.5
Tomodachi Life for 3DS,7.8,7.6
Red Dead Redemption for PS3,9.5,
Donkey Kong Country Returns for Wii,8.6,
The Legend of Zelda for NES,8.4,8.8
Assassin's Creed III for PS3,8.8,
Guild Wars for PC,8.7,
Red Dead Redemption for X360,9.5,10.0
The Elder Scrolls V: Skyrim for PS3,9.0,
Final Fantasy XII for PS2,9.4,9.5
Pokemon Crystal Version for GBC,8.7,
Halo 3: ODST for X360,8.7,
Minecraft for PS4,9.4,
Luigi's Mansion 3 for NS,8.6,8.5
FIFA 15 for PS4,8.1,5.7
Kingdom Hearts for PS2,8.5,
Myst for PC,8.9,8.0
Driver for PS,8.5,
Call of Duty: WWII for XOne,8.0,4.0
Luigi's Mansion: Dark Moon for 3DS,8.6,8.5
Big Brain Academy for DS,7.7,
Minecraft for PS3,9.5,
Metal Gear Solid 2: Sons of Liberty for PS2,9.5,7.0
The Legend of Zelda: Ocarina of Time 3D for 3DS,9.3,9.0
Metal Gear Solid 4: Guns of the Patriots for PS3,9.3,9.8
Metal Gear Solid for PS,9.3,
Cities: Skylines for PC,8.5,8.9
Euro Truck Simulator 2 for PC,8.5,8.7
Mario Kart: Super Circuit for GBA,9.3,
Super Mario Sunshine for GC,9.2,
Super Mario 3D World for WiiU,9.5,8.9
Age of Empires II: HD Edition for PC,6.8,7.9
New Super Mario Bros. U for WiiU,8.4,8.0
Link's Crossbow Training for Wii,6.9,
Red Dead Redemption 2 for XOne,9.7,7.4
Destiny for PS4,7.6,6.1
Tekken 2 for PS,9.1,
Uncharted: The Nathan Drake Collection for PS4,8.6,8.5
Super Mario World: Super Mario Advance 2 for GBA,9.4,
LEGO Star Wars: The Complete Saga for Wii,8.0,
Cooking Mama for DS,6.6,
Super Mario Advance for GBA,8.2,
Assassin's Creed II for PS3,9.0,
Assassin's Creed for X360,8.2,8.0
Super Smash Bros. for N64,8.4,
Batman: Arkham City for PS3,9.6,
Forza Motorsport 3 for X360,9.2,9.8
Dragon Quest IX: Sentinels of the Starry Skies for DS,8.6,
Final Fantasy IX for PS,9.2,
Final Fantasy X-2 for PS2,8.3,
Sid Meier's Civilization VI for PC,8.8,7.0
Tomb Raider (2013) for PC,8.8,
Super Mario Maker 2 for NS,8.8,8.5
Pokemon Stadium for N64,7.5,
Super Mario Advance 4: Super Mario Bros. 3 for GBA,9.2,
Call of Duty: World at War for PS3,8.4,
Crash Bandicoot: The Wrath of Cortex for PS2,6.9,
Super Smash Bros. for Wii U for WiiU,9.2,8.9
Final Fantasy XIII for PS3,8.0,9.2
Gran Turismo 5 Prologue for PS3,8.3,
Pokemon Pinball for GBC,8.7,
Assassin's Creed III for X360,8.5,
Assassin's Creed II for X360,9.1,
The Forest for PC,8.3,7.3
Donkey Kong 64 for N64,9.3,
Just Dance 2 for Wii,7.3,
Tomb Raider II for PS,7.6,
Madden NFL 2004 for PS2,9.5,
Call of Duty: Advanced Warfare for XOne,8.3,5.5
Fallout: New Vegas for PC,8.3,
Kingdom Hearts II for PS2,8.3,
Nintendo Land for WiiU,7.8,7.9
Super Mario Land 3: Wario Land for GB,7.9,
Donkey Kong Country 2: Diddy's Kong Quest for SNES,9.3,
Medal of Honor: Rising Sun for PS2,5.9,
Battlefield 1 for XOne,9.3,7.6
Microsoft Flight Simulator for PC,7.0,
Guitar Hero II for PS2,9.2,
Resident Evil 5 for PS3,8.6,8.8
Fable III for X360,7.8,
Mario & Sonic at the Olympic Games for DS,7.0,
Grand Theft Auto: Vice City Stories for PSP,8.4,
FIFA Soccer 11 for PS3,8.7,
Final Fantasy XV for PS4,8.1,9.5
Super Mario Bros. Deluxe for GB,9.7,
Fallout 4 for XOne,8.4,6.4
Tony Hawk's Pro Skater for PS,9.6,
Warzone 2100 for PS,7.5,
Spyro the Dragon for PS,8.7,
Gears of War for X360,9.4,9.4
Gears of War 2 for X360,9.4,9.5
Halo 5: Guardians for XOne,8.6,6.4
Halo: Combat Evolved for XB,9.5,
Guitar Hero III: Legends of Rock for PS2,8.2,
Uncharted: Drake's Fortune for PS3,8.7,8.6
Resident Evil 2 for PS,9.3,
Fallout 3 for X360,9.0,8.6
Splatoon for WiiU,8.4,8.7
Madden NFL 06 for PS2,9.1,
Stardew Valley for PC,9.2,8.7
Dragon Quest VIII: Journey of the Cursed King for PS2,8.6,
Pokemon Mystery Dungeon: Explorers of Time / Darkness for DS,6.4,
Diddy Kong Racing for N64,8.3,
Crash Bandicoot N. Sane Trilogy for PS4,8.0,8.5
Assassin's Creed for PS3,8.2,8.5
Call of Duty: Infinite Warfare for XOne,7.8,3.6
Crash Team Racing for PS,9.2,
LEGO Star Wars: The Complete Saga for DS,7.8,
The Legend of Zelda: Phantom Hourglass for DS,9.1,
Batman: Arkham City for X360,9.5,
Driver 2 for PS,7.0,
The Simpsons: Hit & Run for PS2,7.7,
World of Warcraft: Cataclysm for PC,9.0,
Tony Hawk's Pro Skater 2 for PS,9.3,
Gran Turismo for PSP,7.7,9.5
The Lord of the Rings: The Two Towers for PS2,8.3,
Tomb Raider for PS,8.9,
God of War for PS2,9.3,
The Legend of Zelda: A Link to the Past for SNES,10.0,
Left 4 Dead for PC,8.6,8.5
Guitar Hero III: Legends of Rock for Wii,8.6,
Forza Motorsport 4 for X360,9.1,
Nintendogs + cats for 3DS,7.2,
"Pokemon: Let's Go, Pikachu! for NS",8.3,6.1
BioShock Infinite for PC,9.5,8.6
Mario & Luigi: Bowser's Inside Story for DS,9.1,
FIFA 15 for PS3,6.9,
Overwatch for PS4,8.8,6.4
Mario & Sonic at the Olympic Winter Games for Wii,6.8,
Madden NFL 2005 for PS2,9.5,
Guitar Hero III: Legends of Rock for X360,8.7,
Dead Island for PC,7.1,6.9
Warcraft III: Reign of Chaos for PC,9.3,
StarCraft II: Wings of Liberty for PC,9.3,
LittleBigPlanet for PS3,9.4,9.2
ARK: Survival Evolved for PC,7.0,5.2
Professor Layton and the Curious Village for DS,8.7,
Madden NFL 07 for PS2,8.5,
Spider-Man: The Movie for PS2,8.2,
The Elder Scrolls IV: Oblivion for X360,9.2,
The Legend of Zelda: The Wind Waker for GC,9.6,
Tony Hawk's Pro Skater 3 for PS2,9.1,
Winning Eleven: Pro Evolution Soccer 2007 for PS2,8.8,
The Legend of Zelda: Link's Awakening for NS,8.7,8.4
Michael Jackson: The Experience for Wii,5.6,
Tom Clancy's The Division for PS4,8.0,7.0
Need for Speed: Most Wanted for PS2,8.6,
Resistance: Fall of Man for PS3,8.5,9.1
Call of Duty: Advanced Warfare for X360,9.1,
Animal Crossing: City Folk for Wii,7.1,8.8
Watch Dogs for PS4,8.0,6.4
Starbound for PC,8.1,7.1
Asteroids for 2600,7.6,7.8
Dragon Quest VII for PS,8.0,3.0
Monster Hunter Generations for 3DS,8.8,8.0
The Witcher 3: Wild Hunt for XOne,9.1,9.2
Batman: Arkham Asylum for PS3,9.0,
Call of Duty: Advanced Warfare for PS3,9.1,
Namco Museum for GBA,8.5,
God of War II for PS2,9.3,9.8
Daxter for PSP,8.6,
Super Paper Mario for Wii,8.5,
Assassin's Creed: Revelations for PS3,8.8,
Metal Gear Solid 3: Snake Eater for PS2,9.0,
Assassin's Creed: Revelations for X360,7.9,
FIFA Soccer 06 for PS2,8.4,
Counter-Strike for PC,8.9,
Monster Hunter 4 Ultimate for 3DS,8.8,8.6
Mortal Kombat 11 for PS4,8.2,3.6
Street Fighter IV for PS3,9.3,9.0
FIFA Soccer 12 for X360,9.2,
Call of Duty: Ghosts for PS4,7.5,3.8
Teenage Mutant Ninja Turtles for NES,5.9,
Just Cause 2 for PC,8.2,
Excitebike for NES,8.4,
Frogger for PS,2.0,
Star Wars Battlefront (2015) for XOne,6.9,
FIFA 14 for X360,9.1,
Destiny 2 for PS4,8.5,4.9
Madden NFL 2003 for PS2,9.4,
Super Mario World 2: Yoshi's Island for SNES,9.0,
Batman: Arkham Knight for PS4,8.1,7.8
FIFA 07 Soccer for PS2,8.4,
The Sims 4 for PC,7.0,4.0
Street Fighter II Turbo for SNES,9.0,
Fallout: New Vegas for X360,8.2,
The Legend of Zelda: A Link Between Worlds for 3DS,9.3,9.0
Far Cry 4 for PS4,8.4,7.7
Carnival Games for Wii,4.2,
World Soccer Winning Eleven 9 for PS2,8.9,
Assassin's Creed Origins for PS4,8.1,7.2
Forza Motorsport 2 for X360,9.1,
Tekken Tag Tournament for PS2,8.7,
Super Mario Maker for WiiU,8.8,8.7
Monster Hunter: World for PS4,9.3,9.0
Fallout 3 for PS3,8.8,
The Last of Us: Part II for PS4,9.4,5.6
Star Fox 64 for N64,9.0,
World of Warcraft: Wrath of the Lich King for PC,9.3,9.3
Just Dance for Wii,5.4,
Diablo II for PC,8.8,
EyeToy Play for PS2,7.5,
The Elder Scrolls V: Skyrim for PC,9.2,8.2
Namco Museum: 50th Anniversary for PS2,5.0,
NBA 2K16 for PS4,8.7,6.7
Left 4 Dead 2 for X360,9.0,
Far Cry 5 for PS4,7.9,6.8
Assassin's Creed IV: Black Flag for PS3,8.7,
Battlefield 4 for PS4,8.3,7.0
EA Sports Active for Wii,8.3,
Half-Life 2: Episode One for PC,8.7,
Dragon Quest III for NES,,8.0
Tony Hawk's Underground for PS2,8.7,
Just Dance 2014 for Wii,7.4,
Professor Layton and the Diabolical Box for DS,8.5,
Sports Champions for PS3,7.6,
World Soccer Winning Eleven 8 International for PS2,9.3,
Resident Evil VII: Biohazard for PS4,8.6,
Monster Hunter Freedom Unite for PSP,7.7,9.7
Madden NFL 20 for PS4,7.6,1.5
Gran Turismo Sport for PS4,7.5,6.0
LEGO Indiana Jones: The Original Adventures for X360,7.5,
The Sims: Unleashed for PC,7.3,
Ratchet & Clank: Size Matters for PSP,8.5,
Harry Potter and the Sorcerer's Stone for PS,8.0,
Pokemon Trading Card Game for GB,8.3,
FIFA 17 for XOne,8.8,5.1
Spyro: Year of the Dragon for PS,9.1,
FIFA Soccer 2005 for PS2,8.4,
Diablo III: Reaper of Souls for PC,8.7,6.6
The Legend of Zelda: Skyward Sword for Wii,9.4,
Tony Hawk's Pro Skater 4 for PS2,9.6,
MySims for DS,6.7,
Midnight Club 3: DUB Edition for PSP,7.2,
Banjo-Kazooie for N64,9.3,9.4
